URL,Institution,Conference,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,RC,YC,Clears,Att,Clear Pct,OTG
https://stats.ncaa.org/team/457/16320,North Carolina,North Carolina,ACC,4,60,32,92,186,117,5,,138,61,36,56,106,24,1,260,240:00:00,31,50,,,88,96,0.917,,
https://stats.ncaa.org/team/513/16320,Notre Dame,Notre Dame,ACC,3,54,34,88,150,94,7,,116,47,32,44,90,6,270,180:00:00,26,28,,,60,71,0.845,,
https://stats.ncaa.org/team/518/16320,Ohio St.,Ohio St.,Big Ten,4,48,25,73,143,85,3,,130,69,23,60,103,14,720,240:00:00,41,39,,,74,85,0.871,,
https://stats.ncaa.org/team/540/16320,Penn,Penn,Ivy League,2,21,15,36,95,53,2,,49,27,9,22,49,2,90,120:00:00,21,28,,,38,40,0.95,,
https://stats.ncaa.org/team/539/16320,Penn St.,Penn St.,Big Ten,4,63,41,104,176,117,9,,149,83,38,64,124,18,780,240:00:00,48,57,,,73,92,0.793,,
https://stats.ncaa.org/team/554/16320,Princeton,Princeton,Ivy League,3,41,26,67,139,86,3,1,90,40,21,41,81,15,930,180:00:00,29,40,,,46,52,0.885,,
https://stats.ncaa.org/team/556/16320,Providence,Providence,Big East,5,57,31,88,164,102,4,1,101,84,28,34,140,17,960,300:00:00,67,85,,,97,115,0.843,,
https://stats.ncaa.org/team/11504/16320,Queens (NC),ASUN,4,40,23,63,143,95,6,,142,76,52,48,104,14,750,245:08:00,52,32,,,66,83,0.795,,
https://stats.ncaa.org/team/562/16320,Quinnipiac,Quinnipiac,MAAC,3,44,29,73,126,79,7,,89,57,14,53,92,14,660,180:00:00,41,48,,,46,59,0.78,,
https://stats.ncaa.org/team/575/16320,Richmond,Richmond,Atlantic 10,4,42,33,75,159,87,7,,120,65,37,53,89,17,780,240:00:00,35,37,1,,72,78,0.923,,
https://stats.ncaa.org/team/579/16320,Robert Morris,Robert Morris,ASUN,2,27,17,44,80,39,6,,72,39,18,27,47,11,630,120:00:00,15,30,1,,37,43,0.86,,
https://stats.ncaa.org/team/587/16320,Rutgers,Rutgers,Big Ten,4,54,25,79,190,115,1,,130,49,31,59,103,11,480,240:00:00,35,46,,,75,83,0.904,,
https://stats.ncaa.org/team/590/16320,Sacred Heart,Sacred Heart,MAAC,4,30,13,43,115,61,3,1,99,73,21,41,110,6,300,240:00:00,64,56,,,68,89,0.764,,
https://stats.ncaa.org/team/606/16320,Saint Joseph's,Saint Joseph's,Atlantic 10,3,52,22,74,148,95,3,,113,45,21,65,86,10,540,180:00:00,24,18,,,45,49,0.918,,
https://stats.ncaa.org/team/639/16320,Siena,Siena,MAAC,3,39,22,61,158,89,2,,95,36,20,55,90,8,420,180:00:00,41,29,,,56,60,0.933,,
https://stats.ncaa.org/team/596/16320,St. Bonaventure,St. Bonaventure,Atlantic 10,4,42,24,66,140,88,1,,116,78,28,61,104,21,1,050,241:20:00,50,43,,,62,80,0.775,,
https://stats.ncaa.org/team/603/16320,St. John's (NY),St. John's (NY),Big East,3,26,14,40,119,59,3,,57,51,37,17,71,11,480,180:00:00,41,39,,,63,71,0.887,,
https://stats.ncaa.org/team/683/16320,Stony Brook,Stony Brook,CAA,4,49,28,77,150,92,6,,120,65,22,58,111,19,930,240:00:00,48,49,,,63,73,0.863,,
https://stats.ncaa.org/team/688/16320,Syracuse,Syracuse,ACC,5,67,40,107,208,133,16,,143,64,41,58,136,20,930,300:00:00,52,74,,,109,124,0.879,,
