URL,Institution,Conference,Games,Fouls,GS,Goals,Assists,Points,Shots,SOG,Ground Balls,Turnovers,CT,FOs Won,FOs Taken,G Min,Goals Allowed,Saves,Freepos Shots,Freepos Goals,RC,YC,Draw Controls,Clears,Clr Att
https://stats.ncaa.org/team/368/15840,UMass Lowell,America East,17,313,,165,58,223,451,327,228,251,120,,0,1018:56:00,218,165,80,30,,38,213,247,292
https://stats.ncaa.org/team/740/15840,VCU,Atlantic 10,17,313,,185,63,248,469,342,301,284,128,7,7,1020:00:00,220,211,111,42,,31,217,284,347
https://stats.ncaa.org/team/736/15840,Vanderbilt,AAC,18,443,,233,128,361,517,393,297,277,154,,0,1083:49:00,233,173,90,38,,35,248,293,340
https://stats.ncaa.org/team/738/15840,Vermont,America East,19,411,,250,98,348,569,408,328,309,226,,0,1143:54:00,194,150,113,55,,29,239,317,362
https://stats.ncaa.org/team/739/15840,Villanova,Big East,16,244,,173,64,237,414,311,232,259,106,,0,967:46:00,203,147,73,37,,35,231,263,309
https://stats.ncaa.org/team/746/15840,Virginia,ACC,20,299,,285,110,395,630,433,261,266,125,,0,1199:28:00,273,150,124,63,,38,338,275,315
https://stats.ncaa.org/team/742/15840,Virginia Tech,ACC,18,234,,232,94,326,528,372,283,228,145,,0,1089:11:00,227,135,65,28,,32,237,287,307
https://stats.ncaa.org/team/748/15840,Wagner,NEC,18,244,,185,66,251,498,384,330,263,174,24,24,1084:16:00,186,184,97,44,,20,191,291,330
https://stats.ncaa.org/team/786/15840,William & Mary,CAA,16,413,,175,76,251,449,324,322,308,146,,0,959:43:00,260,171,89,31,,56,219,256,334
https://stats.ncaa.org/team/792/15840,Winthrop,Big South,18,240,,190,77,267,413,322,256,334,121,,0,1085:19:00,291,158,97,40,,36,252,243,294
https://stats.ncaa.org/team/2915/15840,Wofford,Big South,16,258,,164,81,245,413,295,315,274,113,,0,968:00:00,254,153,94,35,,18,200,247,295
https://stats.ncaa.org/team/813/15840,Yale,Ivy League,17,375,,236,87,323,544,413,272,227,134,,0,1020:00:00,226,136,119,55,,31,276,259,288
https://stats.ncaa.org/team/817/15840,Youngstown St.,MAC,18,243,,246,98,344,555,416,294,314,151,15,15,1082:39:00,252,183,130,64,,60,253,269,350
