URL,Institution,Conference,Goals,Assists,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/736/14082,Vanderbilt,SEC,46,33,265,201,,17,,,,1910:00:00,14,59,10,,,,128,5,5
http://stats.ncaa.org/team/740/14082,VCU,Atlantic 10,45,44,313,162,,12,,,,1830:24:00,23,72,7,,,2,109,2,3
http://stats.ncaa.org/team/738/14082,Vermont,America East,17,12,180,158,,7,,,,1718:58:00,22,99,7,,,,56,3,3
http://stats.ncaa.org/team/739/14082,Villanova,Big East,25,22,232,215,1,16,,,,1643:10:00,23,81,3,,,2,92,2,2
http://stats.ncaa.org/team/746/14082,Virginia,ACC,52,49,372,152,,4,,,,2014:24:00,16,41,10,,,,159,3,3
http://stats.ncaa.org/team/742/14082,Virginia Tech,ACC,21,19,255,272,,11,,,,2056:43:00,23,92,10,,,,95,0,0
http://stats.ncaa.org/team/741/14082,VMI,SoCon,29,18,291,182,,11,,,,1673:27:00,28,102,7,,,,74,0,0
http://stats.ncaa.org/team/748/14082,Wagner,NEC,12,8,149,160,,3,,,,1541:05:00,44,100,2,,,,52,2,2
http://stats.ncaa.org/team/749/14082,Wake Forest,ACC,31,32,242,189,,13,,,,1867:23:00,26,82,6,,,,94,1,1
http://stats.ncaa.org/team/756/14082,Washington,Pac-12,25,14,296,193,,11,,,,1775:32:00,25,76,5,,,2,101,0,0
http://stats.ncaa.org/team/754/14082,Washington St.,Pac-12,41,35,347,232,1,16,,,,1739:54:00,23,67,5,,,1,117,1,1
http://stats.ncaa.org/team/758/14082,Weber St.,Big Sky,23,26,173,166,,19,,,,1707:14:00,19,87,6,,,,53,0,0
http://stats.ncaa.org/team/768/14082,West Virginia,Big 12,46,35,508,230,1,17,,,,2162:15:00,13,36,12,,,,203,7,7
http://stats.ncaa.org/team/769/14082,Western Caro.,SoCon,18,11,212,149,,12,,,,1647:00:00,21,78,7,,,,77,2,2
http://stats.ncaa.org/team/771/14082,Western Ill.,Summit League,16,10,198,137,,6,,,,1659:02:00,42,112,2,,,,37,0,0
http://stats.ncaa.org/team/772/14082,Western Ky.,C-USA,32,35,256,134,,7,,,,1620:17:00,28,60,3,,,,67,1,1
http://stats.ncaa.org/team/774/14082,Western Mich.,MAC,37,32,336,219,,10,,,,1916:48:00,27,93,7,,,1,98,3,3
http://stats.ncaa.org/team/786/14082,William & Mary,CAA,18,14,196,168,1,11,,,,1555:34:00,25,86,3,,,,47,1,1
http://stats.ncaa.org/team/792/14082,Winthrop,Big South,26,16,203,169,,5,,,,1646:27:00,31,97,2,,,,79,3,3
http://stats.ncaa.org/team/796/14082,Wisconsin,Big Ten,35,31,268,222,,8,,,,2078:13:00,19,73,9,,,,159,2,3
http://stats.ncaa.org/team/2915/14082,Wofford,SoCon,20,8,238,140,,7,,,,1640:00:00,48,135,1,,,,48,0,3
http://stats.ncaa.org/team/810/14082,Wright St.,Horizon,16,12,165,149,,13,,,,1602:53:00,28,71,3,,,,64,1,3
http://stats.ncaa.org/team/811/14082,Wyoming,Mountain West,32,19,275,161,,4,,,,1925:37:00,21,79,8,,,,87,3,4
http://stats.ncaa.org/team/812/14082,Xavier,Big East,31,19,312,222,,10,,,,2001:14:00,22,98,9,,,1,118,1,2
http://stats.ncaa.org/team/813/14082,Yale,Ivy League,21,23,207,133,,4,,,,1543:43:00,25,65,4,,,,71,0,0
http://stats.ncaa.org/team/817/14082,Youngstown St.,Horizon,7,2,146,154,,7,,,,1710:56:00,37,93,3,,,,43,0,0
