date,team,opponent,home_away,result,home_score,visitor_score,overtime,games,fouls,gs,goals,assists,points,shots,sog,ground_balls,turnovers,ct,freepos_shots,freepos_goals,draw_controls,defensive_games,defensive_fouls,defensive_gs,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_turnovers,defensive_ct,defensive_freepos_shots,defensive_freepos_goals,defensive_draw_controls,team_id
2024-04-17,Eastern Mich.,Xavier,Home,,12,13,1,,8.0,,12.0,4.0,16.0,21,16,20,22,10.0,3.0,2.0,17.0,,14.0,,13.0,4.0,17.0,34,26,28,14,21.0,2.0,1.0,11.0,204
2024-04-21,Eastern Mich.,Youngstown St.,Away,,18,11,,,8.0,,18.0,7.0,25.0,36,29,9,13,5.0,6.0,2.0,24.0,,23.0,,11.0,3.0,14.0,27,19,14,10,7.0,5.0,2.0,7.0,204
2024-04-27,Eastern Mich.,Robert Morris,Home,,10,12,,,12.0,,10.0,3.0,13.0,33,22,24,15,10.0,4.0,2.0,15.0,,15.0,,12.0,7.0,19.0,27,21,20,13,12.0,1.0,1.0,10.0,204
2024-05-02,Eastern Mich.,Robert Morris,Home,,11,12,,,16.0,,11.0,2.0,13.0,34,20,16,16,8.0,5.0,1.0,20.0,,12.0,,12.0,1.0,13.0,23,18,11,9,11.0,5.0,3.0,6.0,204
2024-02-10,Elon,Old Dominion,Away,,16,6,,,,,16.0,4.0,20.0,34,31,16,13,12.0,8.0,4.0,19.0,,,,6.0,2.0,8.0,12,11,10,21,10.0,3.0,2.0,6.0,1068
2024-02-14,Elon,Queens (NC),Away,,10,15,,,8.0,,10.0,3.0,13.0,31,18,12,20,6.0,10.0,4.0,19.0,,7.0,,15.0,7.0,22.0,36,26,20,12,10.0,4.0,3.0,10.0,1068
2024-02-17,Elon,VCU,Away,,12,11,,,17.0,,12.0,7.0,19.0,30,20,17,18,11.0,3.0,,14.0,,15.0,,11.0,5.0,16.0,22,20,13,14,8.0,4.0,1.0,13.0,1068
2024-02-21,Elon,Furman,Home,,13,9,,,2.0,,13.0,6.0,19.0,32,21,18,11,7.0,10.0,5.0,12.0,,19.0,,9.0,4.0,13.0,22,14,16,16,5.0,,,10.0,1068
2024-02-24,Elon,Coastal Carolina,Home,,7,8,,,5.0,,7.0,2.0,9.0,22,14,11,15,8.0,2.0,2.0,12.0,,7.0,,8.0,6.0,14.0,19,14,14,13,11.0,,,6.0,1068
2024-02-28,Elon,East Carolina,Away,,13,10,,,2.0,,13.0,5.0,18.0,31,21,14,14,5.0,7.0,3.0,22.0,,1.0,,10.0,2.0,12.0,27,20,18,7,9.0,,,5.0,1068
2024-03-06,Elon,Virginia Tech,Away,,7,17,,,10.0,,7.0,1.0,8.0,22,12,13,17,5.0,2.0,1.0,13.0,,18.0,,17.0,12.0,29.0,36,27,21,13,9.0,2.0,,14.0,1068
2024-03-13,Elon,High Point,Home,,11,12,,,8.0,,11.0,3.0,14.0,34,23,15,13,8.0,5.0,,17.0,,11.0,,12.0,1.0,13.0,21,17,16,12,6.0,1.0,,9.0,1068
2024-03-16,Elon,Monmouth,Home,,16,13,,,8.0,,16.0,4.0,20.0,39,28,13,14,9.0,10.0,2.0,24.0,,17.0,,13.0,6.0,19.0,26,20,19,17,8.0,4.0,2.0,9.0,1068
2024-03-22,Elon,Stony Brook,Away,,6,18,,,17.0,,6.0,3.0,9.0,10,8,10,24,4.0,3.0,2.0,13.0,,21.0,,18.0,9.0,27.0,43,31,19,7,14.0,6.0,3.0,14.0,1068
2024-03-24,Elon,Hofstra,Away,,7,17,,,12.0,,7.0,3.0,10.0,26,22,6,15,2.0,3.0,1.0,19.0,,9.0,,17.0,14.0,31.0,34,23,20,8,7.0,2.0,,8.0,1068
2024-03-30,Elon,Drexel,Home,,9,18,,,10.0,,9.0,2.0,11.0,22,18,19,14,7.0,3.0,1.0,10.0,,5.0,,18.0,5.0,23.0,31,21,19,13,7.0,7.0,6.0,21.0,1068
2024-04-06,Elon,Campbell,Away,,16,12,,,16.0,,16.0,6.0,22.0,38,25,11,12,6.0,6.0,2.0,21.0,,18.0,,12.0,7.0,19.0,28,21,8,13,4.0,3.0,2.0,10.0,1068
2024-04-14,Elon,William & Mary,Home,,18,11,,,10.0,,18.0,1.0,19.0,30,25,15,17,6.0,12.0,9.0,23.0,,21.0,,11.0,4.0,15.0,22,19,18,15,3.0,3.0,1.0,8.0,1068
2024-04-20,Elon,Delaware,Home,,16,15,,,18.0,,16.0,3.0,19.0,34,28,13,21,10.0,10.0,4.0,19.0,,20.0,,15.0,7.0,22.0,33,25,16,21,14.0,6.0,4.0,15.0,1068
2024-04-27,Elon,Towson,Away,,12,11,1,,13.0,,12.0,9.0,21.0,27,18,16,18,9.0,7.0,,16.0,,16.0,,11.0,4.0,15.0,25,18,21,16,12.0,2.0,1.0,11.0,1068
2024-05-02,Elon,Stony Brook,Away,,4,17,,,21.0,,4.0,3.0,7.0,15,12,12,24,5.0,2.0,,10.0,,13.0,,17.0,12.0,29.0,37,26,20,13,13.0,5.0,3.0,12.0,1068
2024-02-10,FDU,Rider,Home,,7,19,,,4.0,,7.0,4.0,11.0,23,16,8,14,3.0,2.0,2.0,10.0,,14.0,,19.0,9.0,28.0,38,28,11,7,5.0,1.0,,15.0,222
2024-02-14,FDU,Monmouth,Home,,6,20,,,19.0,,6.0,4.0,10.0,20,14,9,13,3.0,3.0,1.0,9.0,,19.0,,20.0,12.0,32.0,44,36,16,6,8.0,10.0,4.0,18.0,222
2024-02-16,FDU,La Salle,Home,,10,19,,,20.0,,10.0,5.0,15.0,26,18,16,13,8.0,5.0,2.0,10.0,,15.0,,19.0,12.0,31.0,36,28,17,13,11.0,4.0,2.0,22.0,222
2024-02-21,FDU,Iona,Home,,3,20,,,4.0,,3.0,,3.0,15,14,9,11,4.0,3.0,2.0,5.0,,7.0,,20.0,10.0,30.0,42,33,13,8,7.0,4.0,2.0,19.0,222
2024-02-24,FDU,Stonehill,Away,,6,15,,,17.0,,6.0,2.0,8.0,15,11,17,24,7.0,2.0,1.0,9.0,,8.0,,15.0,8.0,23.0,32,26,24,20,11.0,5.0,1.0,16.0,222
2024-03-02,FDU,Manhattan,Away,,6,17,,,15.0,,6.0,1.0,7.0,17,11,19,26,5.0,2.0,1.0,10.0,,3.0,,17.0,11.0,28.0,37,24,26,17,10.0,5.0,3.0,16.0,222
2024-03-09,FDU,Merrimack,Home,,6,12,,,19.0,,6.0,6.0,12.0,19,16,12,23,9.0,2.0,,14.0,,15.0,,12.0,9.0,21.0,28,22,21,14,11.0,4.0,2.0,7.0,222
2024-03-12,FDU,Radford,Away,,10,13,,,12.0,,10.0,3.0,13.0,34,26,30,10,8.0,8.0,2.0,14.0,,18.0,,13.0,6.0,19.0,31,26,33,14,6.0,5.0,3.0,13.0,222
2024-03-16,FDU,Delaware St.,Home,,14,10,,,20.0,,14.0,10.0,24.0,30,23,11,14,9.0,5.0,3.0,10.0,,19.0,,10.0,2.0,12.0,23,18,12,14,10.0,4.0,2.0,17.0,222
2024-03-23,FDU,Central Conn. St.,Away,,9,11,,,22.0,,9.0,3.0,12.0,31,21,19,24,10.0,7.0,,10.0,,19.0,,11.0,5.0,16.0,29,18,26,26,13.0,3.0,2.0,12.0,222
2024-03-27,FDU,Le Moyne,Away,,8,18,,,13.0,,8.0,4.0,12.0,25,17,16,19,7.0,5.0,2.0,14.0,,26.0,,18.0,7.0,25.0,32,23,15,11,9.0,6.0,4.0,15.0,222
2024-03-30,FDU,Saint Francis,Home,,8,13,,,19.0,,8.0,3.0,11.0,25,20,12,16,10.0,4.0,2.0,11.0,,19.0,,13.0,6.0,19.0,32,23,20,15,12.0,3.0,3.0,13.0,222
2024-04-06,FDU,Sacred Heart,Home,,7,10,,,14.0,,7.0,4.0,11.0,15,13,13,21,7.0,7.0,2.0,8.0,,16.0,,10.0,2.0,12.0,37,26,20,13,8.0,5.0,4.0,13.0,222
2024-04-10,FDU,Wagner,Home,,9,17,,,17.0,,9.0,2.0,11.0,20,15,16,24,7.0,4.0,2.0,9.0,,23.0,,17.0,8.0,25.0,33,26,24,20,12.0,3.0,3.0,20.0,222
2024-04-13,FDU,Howard,Away,,15,5,,,2.0,,15.0,9.0,24.0,25,22,34,14,9.0,8.0,2.0,15.0,,10.0,,5.0,2.0,7.0,17,11,29,15,4.0,1.0,,8.0,222
2024-04-24,FDU,LIU,Away,,3,10,,,24.0,,3.0,2.0,5.0,11,6,11,18,2.0,4.0,1.0,4.0,,15.0,,10.0,6.0,16.0,33,20,17,16,6.0,7.0,2.0,13.0,222
2024-02-10,Fairfield,Holy Cross,Away,,16,17,,,28.0,,16.0,8.0,24.0,38,27,15,20,8.0,8.0,2.0,24.0,,25.0,,17.0,10.0,27.0,32,25,18,16,13.0,5.0,1.0,13.0,220
2024-02-14,Fairfield,UConn,Home,,11,9,,,16.0,,11.0,4.0,15.0,29,24,15,20,10.0,6.0,3.0,13.0,,18.0,,9.0,4.0,13.0,26,18,19,20,11.0,8.0,4.0,9.0,220
2024-02-17,Fairfield,UAlbany,Home,,15,10,,,10.0,,15.0,10.0,25.0,32,23,22,15,4.0,6.0,3.0,13.0,,19.0,,10.0,5.0,15.0,19,16,13,25,5.0,4.0,2.0,16.0,220
2024-02-24,Fairfield,Hofstra,Away,,12,9,,,7.0,,12.0,6.0,18.0,28,21,11,17,6.0,3.0,1.0,16.0,,9.0,,9.0,5.0,14.0,21,14,18,13,10.0,8.0,3.0,8.0,220
2024-03-06,Fairfield,Vermont,Home,,12,10,,,18.0,,12.0,6.0,18.0,32,21,19,21,13.0,1.0,,9.0,,12.0,,10.0,6.0,16.0,25,22,16,19,9.0,6.0,2.0,17.0,220
2024-03-09,Fairfield,Drexel,Home,,12,5,,,19.0,,12.0,3.0,15.0,26,19,19,15,13.0,8.0,3.0,8.0,,20.0,,5.0,3.0,8.0,17,14,11,15,9.0,7.0,2.0,12.0,220
2024-03-16,Fairfield,Sacred Heart,Home,,15,5,,,8.0,,15.0,8.0,23.0,33,26,16,17,16.0,10.0,4.0,12.0,,13.0,,5.0,4.0,9.0,16,11,15,21,14.0,4.0,,11.0,220
2024-03-23,Fairfield,Niagara,Away,,14,7,,,18.0,,14.0,5.0,19.0,33,21,16,16,8.0,8.0,4.0,18.0,,23.0,,7.0,4.0,11.0,17,14,19,17,11.0,5.0,3.0,6.0,220
2024-03-27,Fairfield,Iona,Home,,16,6,,,20.0,,16.0,8.0,24.0,40,29,24,16,13.0,7.0,4.0,19.0,,18.0,,6.0,4.0,10.0,21,12,15,17,10.0,10.0,2.0,7.0,220
2024-03-30,Fairfield,Canisius,Home,,19,8,,,15.0,,19.0,7.0,26.0,33,25,16,19,8.0,5.0,4.0,22.0,,10.0,,8.0,4.0,12.0,15,11,13,13,12.0,6.0,4.0,7.0,220
2024-04-03,Fairfield,Marist,Away,,16,5,,,5.0,,16.0,7.0,23.0,39,26,37,11,6.0,4.0,3.0,12.0,,8.0,,5.0,3.0,8.0,17,10,23,23,4.0,4.0,1.0,13.0,220
2024-04-06,Fairfield,Mount St. Mary's,Away,,11,10,,,13.0,,11.0,5.0,16.0,29,21,26,15,16.0,3.0,1.0,14.0,,9.0,,10.0,4.0,14.0,22,16,25,18,13.0,7.0,2.0,10.0,220
2024-04-10,Fairfield,Quinnipiac,Home,,17,5,,,16.0,,17.0,7.0,24.0,43,29,20,13,11.0,4.0,2.0,18.0,,15.0,,5.0,4.0,9.0,14,8,15,18,9.0,3.0,1.0,6.0,220
2024-04-13,Fairfield,Manhattan,Home,,16,8,,,17.0,,16.0,10.0,26.0,38,26,21,18,12.0,6.0,1.0,18.0,,14.0,,8.0,7.0,15.0,24,13,14,19,9.0,8.0,1.0,9.0,220
2024-04-17,Fairfield,Rider,Away,,19,11,,,12.0,,19.0,10.0,29.0,35,29,18,11,8.0,3.0,2.0,17.0,,12.0,,11.0,3.0,14.0,21,19,14,13,5.0,9.0,6.0,16.0,220
2024-04-20,Fairfield,Siena,Away,,11,8,,,18.0,,11.0,5.0,16.0,26,16,19,11,9.0,3.0,,10.0,,8.0,,8.0,5.0,13.0,25,17,20,14,4.0,7.0,2.0,13.0,220
2024-05-03,Fairfield,Mount St. Mary's,Home,,14,6,,,17.0,,14.0,9.0,23.0,33,20,21,16,12.0,3.0,,18.0,,9.0,,6.0,,6.0,13,9,16,19,9.0,10.0,5.0,6.0,220
2024-05-05,Fairfield,Niagara,Home,,10,11,,,14.0,,10.0,4.0,14.0,29,19,13,13,6.0,2.0,,15.0,,6.0,,11.0,3.0,14.0,26,19,18,15,8.0,5.0,3.0,9.0,220
2024-05-10,Fairfield,Johns Hopkins,Home,,5,11,,,19.0,,5.0,4.0,9.0,18,10,19,21,11.0,5.0,,5.0,,24.0,,11.0,8.0,19.0,30,21,21,16,16.0,4.0,1.0,14.0,220
2024-02-10,Florida,Loyola Maryland,Away,,10,18,,,18.0,,10.0,2.0,12.0,25,14,14,21,7.0,7.0,6.0,11.0,,14.0,,18.0,8.0,26.0,30,24,13,14,13.0,2.0,1.0,20.0,235
2024-02-17,Florida,North Carolina,Away,,10,19,,,18.0,,10.0,1.0,11.0,21,17,8,13,5.0,8.0,7.0,14.0,,19.0,,19.0,9.0,28.0,37,30,13,10,6.0,5.0,3.0,18.0,235
2024-02-24,Florida,Maryland,Away,,13,12,1,,5.0,,13.0,5.0,18.0,35,24,13,11,5.0,2.0,1.0,15.0,,8.0,,12.0,6.0,18.0,32,21,19,10,6.0,5.0,1.0,12.0,235
2024-02-28,Florida,Jacksonville,Home,,21,4,,,6.0,,21.0,13.0,34.0,35,26,11,8,3.0,10.0,7.0,16.0,,17.0,,4.0,2.0,6.0,22,14,10,7,4.0,2.0,1.0,12.0,235
2024-03-03,Florida,Arizona St.,Away,,22,6,,,12.0,,22.0,7.0,29.0,37,31,10,5,2.0,6.0,6.0,16.0,,15.0,,6.0,2.0,8.0,22,18,4,6,2.0,3.0,2.0,11.0,235
2024-03-06,Florida,UC Davis,Home,,21,7,,,11.0,,21.0,13.0,34.0,43,36,15,9,5.0,1.0,1.0,24.0,,2.0,,7.0,1.0,8.0,16,13,12,13,8.0,5.0,3.0,7.0,235
2024-03-08,Florida,San Diego St.,Away,,23,5,,,17.0,,23.0,13.0,36.0,37,34,11,10,7.0,5.0,2.0,23.0,,19.0,,5.0,,5.0,15,14,15,10,5.0,6.0,3.0,6.0,235
2024-03-13,Florida,Princeton,Home,,16,13,,,16.0,,16.0,11.0,27.0,27,20,22,24,13.0,6.0,3.0,26.0,,23.0,,13.0,7.0,20.0,27,21,21,16,13.0,5.0,2.0,5.0,235
2024-03-16,Florida,Mercer,Home,,20,7,,,5.0,,20.0,12.0,32.0,32,27,12,7,6.0,7.0,4.0,20.0,,20.0,,7.0,2.0,9.0,22,19,14,12,5.0,3.0,1.0,10.0,235
2024-03-19,Florida,Furman,Home,,23,7,,,11.0,,23.0,11.0,34.0,35,29,16,12,4.0,7.0,5.0,22.0,,10.0,,7.0,3.0,10.0,18,12,9,14,4.0,2.0,,9.0,235
2024-03-23,Florida,Old Dominion,Home,,19,4,,,11.0,,19.0,11.0,30.0,26,25,8,14,5.0,4.0,3.0,18.0,,17.0,,4.0,1.0,5.0,13,10,12,15,5.0,1.0,,8.0,235
2024-03-27,Florida,Liberty,Home,,23,3,,,5.0,,23.0,16.0,39.0,37,33,18,17,8.0,4.0,3.0,18.0,,11.0,,3.0,1.0,4.0,20,11,19,21,14.0,2.0,1.0,9.0,235
2024-03-30,Florida,Vanderbilt,Away,,20,5,,,14.0,,20.0,11.0,31.0,41,31,19,14,6.0,9.0,4.0,21.0,,16.0,,5.0,2.0,7.0,18,12,13,14,2.0,5.0,,6.0,235
2024-04-06,Florida,East Carolina,Away,,19,7,,,6.0,,19.0,6.0,25.0,31,26,20,13,8.0,2.0,2.0,19.0,,3.0,,7.0,4.0,11.0,23,14,23,12,12.0,1.0,,9.0,235
2024-04-13,Florida,James Madison,Home,,15,7,,,11.0,,15.0,9.0,24.0,37,28,16,8,9.0,9.0,4.0,12.0,,21.0,,7.0,3.0,10.0,27,19,9,12,8.0,1.0,1.0,13.0,235
2024-04-20,Florida,Cincinnati,Away,,18,6,,,9.0,,18.0,8.0,26.0,31,24,14,17,9.0,13.0,9.0,18.0,,23.0,,6.0,2.0,8.0,29,20,14,12,9.0,3.0,,9.0,235
2024-04-27,Florida,Temple,Home,,18,7,,,15.0,,18.0,10.0,28.0,35,33,15,11,12.0,6.0,4.0,18.0,,17.0,,7.0,2.0,9.0,22,15,13,15,4.0,2.0,1.0,10.0,235
2024-05-02,Florida,Vanderbilt,Away,,17,8,,,14.0,,17.0,6.0,23.0,33,27,21,14,11.0,6.0,3.0,17.0,,18.0,,8.0,4.0,12.0,20,14,15,16,4.0,9.0,3.0,11.0,235
2024-05-04,Florida,James Madison,Home,,21,11,,,15.0,,21.0,11.0,32.0,33,29,8,10,2.0,11.0,6.0,21.0,,19.0,,11.0,4.0,15.0,27,23,8,6,3.0,4.0,1.0,15.0,235
2024-05-10,Florida,North Carolina,Home,,17,8,,,11.0,,17.0,9.0,26.0,32,23,12,12,3.0,3.0,1.0,18.0,,8.0,,8.0,1.0,9.0,31,22,14,7,7.0,6.0,1.0,11.0,235
2024-05-12,Florida,Virginia,Away,,13,8,,,14.0,,13.0,9.0,22.0,26,24,11,16,5.0,5.0,2.0,19.0,,22.0,,8.0,3.0,11.0,22,14,19,11,9.0,5.0,3.0,6.0,235
2024-05-16,Florida,Maryland,Away,,15,9,,,11.0,,15.0,6.0,21.0,24,22,17,14,6.0,6.0,4.0,10.0,,12.0,,9.0,3.0,12.0,36,19,12,14,11.0,2.0,1.0,15.0,235
2024-05-24,Florida,Northwestern,Home,,11,15,,,28.0,,11.0,4.0,15.0,24,21,15,15,11.0,7.0,5.0,11.0,,19.0,,15.0,3.0,18.0,31,25,15,15,10.0,5.0,3.0,17.0,235
2024-02-14,Furman,Clemson,Home,,5,11,,,17.0,,5.0,2.0,7.0,18,13,19,23,11.0,6.0,2.0,10.0,,29.0,,11.0,4.0,15.0,21,16,17,21,14.0,4.0,2.0,10.0,244
2024-02-18,Furman,Kennesaw St.,Home,,19,15,,,16.0,,19.0,9.0,28.0,36,26,23,17,7.0,6.0,4.0,23.0,,16.0,,15.0,11.0,26.0,26,21,20,20,7.0,5.0,1.0,14.0,244
2024-02-21,Furman,Elon,Away,,9,13,,,19.0,,9.0,4.0,13.0,22,14,16,16,5.0,,,10.0,,2.0,,13.0,6.0,19.0,32,21,18,11,7.0,10.0,5.0,12.0,244
2024-02-24,Furman,East Carolina,Home,,12,18,,,24.0,,12.0,6.0,18.0,25,19,10,11,7.0,3.0,1.0,15.0,,16.0,,18.0,7.0,25.0,37,25,13,12,3.0,10.0,7.0,20.0,244
2024-03-02,Furman,James Madison,Home,,9,21,,,16.0,,9.0,5.0,14.0,19,13,20,20,6.0,4.0,3.0,10.0,,11.0,,21.0,8.0,29.0,43,27,16,12,11.0,4.0,2.0,23.0,244
2024-03-10,Furman,Oregon,Away,,8,17,,,10.0,,8.0,2.0,10.0,20,13,14,20,6.0,7.0,3.0,12.0,,41.0,,17.0,3.0,20.0,36,27,22,17,9.0,6.0,4.0,16.0,244
2024-03-12,Furman,Virginia Tech,Home,,9,20,,,16.0,,9.0,2.0,11.0,19,15,10,16,6.0,4.0,1.0,15.0,,11.0,,20.0,11.0,31.0,36,27,16,10,8.0,6.0,4.0,17.0,244
2024-03-16,Furman,Queens (NC),Away,,13,11,,,10.0,,13.0,3.0,16.0,24,17,17,23,7.0,2.0,1.0,16.0,,8.0,,11.0,5.0,16.0,27,18,19,13,17.0,7.0,2.0,10.0,244
2024-03-19,Furman,Florida,Away,,7,23,,,10.0,,7.0,3.0,10.0,18,12,9,14,4.0,2.0,,9.0,,11.0,,23.0,11.0,34.0,35,29,16,12,4.0,7.0,5.0,22.0,244
2024-03-27,Furman,Wofford,Home,,12,10,,,11.0,,12.0,9.0,21.0,24,22,19,20,11.0,4.0,2.0,12.0,,11.0,,10.0,5.0,15.0,27,18,20,18,11.0,3.0,,14.0,244
2024-03-30,Furman,Gardner-Webb,Away,,21,9,,,8.0,,21.0,8.0,29.0,45,40,18,9,5.0,9.0,3.0,27.0,,16.0,,9.0,4.0,13.0,18,13,9,15,4.0,3.0,2.0,6.0,244
2024-04-06,Furman,Presbyterian,Away,,17,6,,,8.0,,17.0,9.0,26.0,37,24,13,7,6.0,9.0,3.0,15.0,,19.0,,6.0,3.0,9.0,19,10,11,12,5.0,6.0,2.0,10.0,244
2024-04-10,Furman,Mercer,Home,,11,17,,,15.0,,11.0,6.0,17.0,20,15,13,14,7.0,2.0,2.0,11.0,,8.0,,17.0,10.0,27.0,35,27,13,13,10.0,7.0,3.0,21.0,244
2024-04-13,Furman,Winthrop,Away,,16,9,,,22.0,,16.0,5.0,21.0,34,25,25,13,7.0,10.0,4.0,11.0,,22.0,,9.0,5.0,14.0,23,18,17,18,8.0,3.0,,17.0,244
2024-04-17,Furman,Longwood,Away,,17,16,,,10.0,,17.0,8.0,25.0,35,32,17,7,8.0,3.0,2.0,17.0,,12.0,,16.0,7.0,23.0,26,22,7,15,5.0,9.0,6.0,20.0,244
2024-04-20,Furman,High Point,Home,,10,13,,,12.0,,10.0,6.0,16.0,20,15,16,15,11.0,3.0,1.0,8.0,,13.0,,13.0,5.0,18.0,29,20,16,19,9.0,4.0,2.0,19.0,244
2024-04-24,Furman,Radford,Home,,24,5,,,6.0,,24.0,9.0,33.0,39,30,21,10,13.0,9.0,5.0,19.0,,16.0,,5.0,2.0,7.0,13,10,9,19,5.0,3.0,,13.0,244
2024-05-03,Furman,High Point,Home,,14,19,,,15.0,,14.0,6.0,20.0,28,19,10,10,3.0,6.0,1.0,18.0,,19.0,,19.0,7.0,26.0,34,28,14,7,2.0,8.0,5.0,18.0,244
2024-02-11,Gardner-Webb,Vermont,Home,,6,20,,,,,6.0,,6.0,17,12,8,17,4.0,5.0,1.0,12.0,,,,20.0,5.0,25.0,34,27,24,16,14.0,2.0,,15.0,1092
2024-02-14,Gardner-Webb,East Carolina,Away,,6,17,,,15.0,,6.0,2.0,8.0,16,13,12,20,5.0,3.0,1.0,11.0,,8.0,,17.0,7.0,24.0,39,29,33,14,12.0,5.0,2.0,15.0,1092
2024-02-21,Gardner-Webb,Kennesaw St.,Away,,17,28,,,21.0,,17.0,8.0,25.0,31,25,14,17,3.0,7.0,5.0,21.0,,19.0,,28.0,13.0,41.0,42,33,17,17,6.0,11.0,8.0,28.0,1092
2024-02-25,Gardner-Webb,George Mason,Home,,11,19,,,6.0,,11.0,4.0,15.0,24,17,15,19,6.0,9.0,3.0,13.0,,10.0,,19.0,13.0,32.0,39,30,21,17,8.0,5.0,1.0,20.0,1092
2024-03-02,Gardner-Webb,Jacksonville,Away,,4,21,,,8.0,,4.0,2.0,6.0,10,9,9,16,1.0,4.0,2.0,4.0,,9.0,,21.0,7.0,28.0,39,36,9,9,11.0,5.0,3.0,23.0,1092
2024-03-06,Gardner-Webb,UMass Lowell,Home,,2,21,,,8.0,,2.0,,2.0,9,6,11,26,3.0,2.0,1.0,5.0,,5.0,,21.0,6.0,27.0,45,38,24,12,11.0,6.0,3.0,19.0,1092
2024-03-09,Gardner-Webb,Akron,Home,,9,15,,,19.0,,9.0,3.0,12.0,29,17,14,14,9.0,3.0,2.0,7.0,,11.0,,15.0,5.0,20.0,33,27,9,12,11.0,6.0,3.0,20.0,1092
2024-03-12,Gardner-Webb,Stetson,Away,,3,23,,,10.0,,3.0,1.0,4.0,16,12,10,17,11.0,,,7.0,,9.0,,23.0,17.0,40.0,37,33,19,16,13.0,,,22.0,1092
2024-03-14,Gardner-Webb,Queens (NC),Home,,4,16,,,10.0,,4.0,,4.0,18,13,19,24,10.0,2.0,1.0,9.0,,12.0,,16.0,8.0,24.0,39,29,28,20,12.0,9.0,4.0,15.0,1092
2024-03-27,Gardner-Webb,Winthrop,Away,,8,13,,,13.0,,8.0,5.0,13.0,27,15,19,21,6.0,8.0,2.0,10.0,,21.0,,13.0,7.0,20.0,32,27,21,18,4.0,5.0,1.0,14.0,1092
2024-03-30,Gardner-Webb,Furman,Home,,9,21,,,16.0,,9.0,4.0,13.0,18,13,9,15,4.0,3.0,2.0,6.0,,8.0,,21.0,8.0,29.0,45,40,18,9,5.0,9.0,3.0,27.0,1092
2024-04-03,Gardner-Webb,Mercer,Away,,3,25,,,8.0,,3.0,3.0,6.0,11,8,12,18,8.0,2.0,,6.0,,7.0,,25.0,11.0,36.0,47,37,28,11,14.0,5.0,3.0,25.0,1092
2024-04-06,Gardner-Webb,High Point,Home,,6,20,,,13.0,,6.0,2.0,8.0,17,14,9,19,8.0,3.0,2.0,12.0,,9.0,,20.0,13.0,33.0,33,25,22,9,18.0,2.0,2.0,19.0,1092
2024-04-13,Gardner-Webb,Presbyterian,Home,,4,12,,,15.0,,4.0,1.0,5.0,20,11,11,18,14.0,3.0,,5.0,,8.0,,12.0,4.0,16.0,32,22,21,19,11.0,8.0,3.0,15.0,1092
2024-04-17,Gardner-Webb,Radford,Away,,6,16,,,6.0,,6.0,3.0,9.0,18,11,28,28,10.0,1.0,,12.0,,3.0,,16.0,9.0,25.0,31,27,37,21,19.0,3.0,3.0,12.0,1092
2024-04-20,Gardner-Webb,Wofford,Home,,7,17,,,15.0,,7.0,5.0,12.0,23,15,20,24,13.0,3.0,2.0,10.0,,8.0,,17.0,6.0,23.0,30,26,25,21,18.0,5.0,2.0,16.0,1092
2024-04-27,Gardner-Webb,Longwood,Away,,11,12,,,15.0,,11.0,4.0,15.0,35,21,17,18,10.0,6.0,3.0,7.0,,17.0,,12.0,6.0,18.0,38,30,23,17,11.0,7.0,3.0,19.0,1092
2024-02-09,George Mason,William & Mary,Home,,11,10,1,,,,11.0,4.0,15.0,27,19,14,18,7.0,6.0,2.0,11.0,,,,10.0,7.0,17.0,28,18,10,18,3.0,2.0,1.0,12.0,248
2024-02-11,George Mason,Radford,Home,,16,8,,,17.0,,16.0,5.0,21.0,33,23,8,11,11.0,,,18.0,,15.0,,8.0,3.0,11.0,18,11,13,18,9.0,,,9.0,248
2024-02-17,George Mason,Kent St.,Away,,13,6,,,4.0,,13.0,9.0,22.0,30,22,17,11,9.0,3.0,2.0,12.0,,1.0,,6.0,4.0,10.0,22,10,3,17,4.0,2.0,2.0,11.0,248
2024-02-22,George Mason,Howard,Home,,20,6,,,14.0,,20.0,9.0,29.0,30,26,14,9,8.0,5.0,1.0,16.0,,8.0,,6.0,3.0,9.0,13,10,11,17,2.0,3.0,2.0,13.0,248
2024-02-25,George Mason,Gardner-Webb,Away,,19,11,,,10.0,,19.0,13.0,32.0,39,30,21,17,8.0,5.0,1.0,20.0,,6.0,,11.0,4.0,15.0,24,17,15,19,6.0,9.0,3.0,13.0,248
2024-02-29,George Mason,American,Away,,10,11,,,12.0,,10.0,5.0,15.0,23,18,11,16,7.0,,,16.0,,6.0,,11.0,6.0,17.0,24,14,16,15,10.0,4.0,2.0,4.0,248
2024-03-04,George Mason,Delaware St.,Home,,17,6,,,11.0,,17.0,5.0,22.0,39,27,17,17,4.0,8.0,6.0,20.0,,14.0,,6.0,3.0,9.0,16,11,12,15,2.0,3.0,2.0,5.0,248
2024-03-09,George Mason,Massachusetts,Home,,8,20,,,5.0,,8.0,3.0,11.0,19,15,12,12,5.0,,,12.0,,16.0,,20.0,8.0,28.0,35,27,26,9,8.0,,,19.0,248
2024-03-13,George Mason,Longwood,Away,,7,10,,,13.0,,7.0,1.0,8.0,24,15,9,17,6.0,2.0,2.0,13.0,,7.0,,10.0,6.0,16.0,24,20,18,13,10.0,4.0,1.0,8.0,248
