date,team,opponent,home_away,result,home_score,visitor_score,overtime,games,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,saves,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,defensive_goals,defensive_assists,defensive_points,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_gc,defensive_goal_app,defensive_ggs,defensive_goalie_min_plyd,defensive_ga,defensive_saves,defensive_shutouts,defensive_combined_sho,defensive_g_wins,defensive_g_loss,defensive_d_saves,defensive_corners,defensive_pk,defensive_pk_att,na.x,na.y
2021-02-26,Abilene Christian Wildcats,SFA,Away,Loss,2,0,NA,1,0,0,0,14,4,9,0,2,0,0,0,90:00,2,2,0,0,0,0,0,3,0,0,2,1,5,12,4,7,0,0,0,0,0,90:00,0,4,1,0,0,0,0,4,0,0,NA,NA
2021-03-05,Abilene Christian Wildcats,Lamar University,Home,Loss,2,1,NA,1,1,0,2,15,9,7,0,1,0,0,0,90:00,2,9,0,0,0,0,0,7,1,1,2,0,4,22,11,11,0,1,0,0,0,90:00,1,8,0,0,0,0,0,7,1,1,NA,NA
2021-03-07,Abilene Christian Wildcats,McNeese,Home,Win,0,1,NA,1,1,1,3,15,6,6,0,1,0,0,0,90:00,0,3,1,0,0,0,0,7,0,1,0,0,0,12,3,6,0,0,0,0,0,90:00,1,5,0,0,0,0,0,6,0,0,NA,NA
2021-03-12,Abilene Christian Wildcats,Houston Baptist,Away,Loss,2,1,1OT,1,1,0,2,13,4,5,0,0,0,0,0,98:29,2,9,0,0,0,0,0,4,1,1,2,2,6,26,11,10,0,1,0,0,0,98:29,1,3,0,0,0,0,0,9,0,0,NA,NA
2021-03-14,Abilene Christian Wildcats,A&M-Corpus Christi,Away,Win,1,2,NA,1,2,1,5,13,9,15,1,2,0,0,0,90:00,1,5,0,0,0,0,0,1,1,1,1,0,2,10,6,17,1,1,0,0,0,90:00,2,7,0,0,0,0,0,2,0,0,NA,NA
2021-03-16,Abilene Christian Wildcats,Sam Houston,Away,Win,0,2,NA,1,2,0,4,15,6,9,0,0,0,0,0,90:00,0,2,1,0,0,0,0,6,1,1,0,0,0,7,2,10,0,1,0,0,0,90:00,2,4,0,0,0,0,0,4,0,1,NA,NA
2021-03-20,Abilene Christian Wildcats,DBU,Away,Loss,3,1,NA,1,1,0,2,8,4,1,0,0,0,0,0,90:00,3,10,0,0,0,0,0,1,0,0,3,3,9,22,13,0,0,0,0,0,0,90:00,1,3,0,0,0,0,0,2,0,0,NA,NA
2021-03-26,Abilene Christian Wildcats,Nicholls,Home,Win,0,3,NA,1,3,2,8,31,10,4,0,0,0,0,0,90:00,0,3,1,0,0,0,0,4,0,0,0,0,0,9,3,9,0,0,0,0,0,90:00,3,7,0,0,0,0,0,0,0,0,NA,NA
2021-03-28,Abilene Christian Wildcats,Southeastern La.,Home,Draw,0,0,2OT,1,0,0,0,28,7,7,0,0,0,0,0,110:00,0,5,1,0,0,0,0,9,0,0,0,0,0,8,5,7,0,1,0,0,0,110:00,0,7,1,0,0,0,0,5,0,0,NA,NA
2021-04-01,Abilene Christian Wildcats,Northwestern St.,Away,Win,0,1,NA,1,1,2,4,6,4,9,0,0,0,0,0,90:00,0,2,1,0,0,0,0,1,0,0,0,0,0,5,2,14,0,1,0,0,0,90:00,1,3,0,0,0,0,0,6,0,0,NA,NA
