date,team,opponent,home_away,result,home_score,visitor_score,overtime,fouls,goals,assists,points,shots,sog,ground_balls,ct,draw_controls,defensive_fouls,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_ground_balls,defensive_ct,defensive_draw_controls,team_id
2018-03-25,Arizona St.,California,Away,,12,11,1,17.0,12.0,5.0,17.0,26,20,12,6.0,12,28.0,11.0,6.0,17.0,32,20,17,7.0,13,28
2018-03-30,Arizona St.,Stanford,Home,,8,20,,11.0,8.0,3.0,11.0,21,17,14,9.0,13,16.0,20.0,6.0,26.0,41,32,19,5.0,17,28
2018-04-01,Arizona St.,California,Home,,13,17,,19.0,13.0,6.0,19.0,33,23,12,5.0,21,25.0,17.0,8.0,25.0,30,23,11,3.0,11,28
2018-04-06,Arizona St.,Oregon,Away,,8,21,,20.0,8.0,3.0,11.0,22,15,15,4.0,9,11.0,21.0,8.0,29.0,33,25,10,4.0,21,28
2018-04-08,Arizona St.,Colorado,Away,,3,16,,33.0,3.0,2.0,5.0,10,6,14,4.0,4,18.0,16.0,5.0,21.0,42,29,19,10.0,17,28
2018-04-21,Arizona St.,Southern California,Home,,2,19,,9.0,2.0,1.0,3.0,10,6,11,4.0,5,12.0,19.0,7.0,26.0,41,32,22,2.0,18,28
2018-04-26,Arizona St.,Southern California,Home,,7,19,,22.0,7.0,2.0,9.0,17,12,19,3.0,11,26.0,19.0,7.0,26.0,44,32,27,11.0,16,28
2018-02-10,Army West Point,Monmouth,Away,,12,9,,25.0,12.0,4.0,16.0,31,22,20,5.0,13,26.0,9.0,4.0,13.0,26,17,18,8.0,10,725
2018-02-17,Army West Point,Marist,Home,,11,14,,23.0,11.0,4.0,15.0,35,25,14,10.0,16,19.0,14.0,8.0,22.0,25,17,13,4.0,11,725
2018-02-21,Army West Point,Central Conn. St.,Home,,21,4,,13.0,21.0,12.0,33.0,33,28,12,8.0,19,17.0,4.0,1.0,5.0,16,11,11,6.0,8,725
2018-02-24,Army West Point,Mount St. Mary's,Away,,10,14,,30.0,10.0,3.0,13.0,32,17,15,10.0,12,20.0,14.0,5.0,19.0,26,22,13,6.0,14,725
2018-02-28,Army West Point,Iona,Away,,9,6,,28.0,9.0,7.0,16.0,23,15,22,7.0,12,23.0,6.0,1.0,7.0,21,15,21,16.0,5,725
2018-03-03,Army West Point,Siena,Home,,17,16,1,16.0,17.0,10.0,27.0,37,30,13,8.0,25,27.0,16.0,7.0,23.0,24,21,11,3.0,9,725
2018-03-08,Army West Point,Wofford,Home,,19,4,,17.0,19.0,9.0,28.0,37,30,19,11.0,16,9.0,4.0,2.0,6.0,13,8,16,4.0,8,725
2018-03-11,Army West Point,VCU,Away,,13,11,,24.0,13.0,5.0,18.0,30,24,18,12.0,14,27.0,11.0,5.0,16.0,28,20,10,9.0,12,725
2018-03-17,Army West Point,Loyola Maryland,Away,,3,15,,15.0,3.0,1.0,4.0,15,14,12,4.0,13,14.0,15.0,7.0,22.0,27,20,18,8.0,7,725
2018-03-24,Army West Point,American,Home,,17,8,,31.0,17.0,6.0,23.0,42,27,18,8.0,19,31.0,8.0,1.0,9.0,25,16,13,3.0,8,725
2018-03-28,Army West Point,Holy Cross,Away,,10,11,,18.0,10.0,7.0,17.0,28,21,16,7.0,14,14.0,11.0,4.0,15.0,30,19,21,11.0,9,725
2018-03-31,Army West Point,Lehigh,Home,,8,15,,35.0,8.0,3.0,11.0,23,17,16,4.0,12,14.0,15.0,10.0,25.0,35,29,22,10.0,13,725
2018-04-07,Army West Point,Lafayette,Away,,12,11,,28.0,12.0,3.0,15.0,31,23,21,12.0,13,10.0,11.0,3.0,14.0,29,23,15,12.0,11,725
2018-04-14,Army West Point,Navy,Home,,7,20,,25.0,7.0,3.0,10.0,18,12,13,5.0,12,14.0,20.0,7.0,27.0,35,30,20,11.0,17,725
2018-04-18,Army West Point,Colgate,Home,,15,8,,25.0,15.0,5.0,20.0,30,24,14,6.0,17,22.0,8.0,3.0,11.0,39,23,17,4.0,8,725
2018-04-21,Army West Point,Boston U.,Home,,8,9,,20.0,8.0,4.0,12.0,27,19,16,10.0,8,20.0,9.0,5.0,14.0,35,27,23,11.0,11,725
2018-04-27,Army West Point,Bucknell,Away,,10,9,,17.0,10.0,5.0,15.0,25,19,13,8.0,12,14.0,9.0,3.0,12.0,25,19,17,14.0,9,725
2018-02-11,Binghamton,Fresno St.,Home,,14,8,,30.0,14.0,2.0,16.0,35,23,13,10.0,13,28.0,8.0,,8.0,25,17,16,8.0,11,62
2018-02-17,Binghamton,Niagara,Away,,7,8,,21.0,7.0,,7.0,25,15,36,20.0,7,26.0,8.0,4.0,12.0,26,20,38,21.0,10,62
2018-02-22,Binghamton,Lafayette,Away,,20,13,,35.0,20.0,6.0,26.0,34,27,17,17.0,17,23.0,13.0,2.0,15.0,29,23,20,11.0,17,62
2018-02-28,Binghamton,Colgate,Home,,13,9,,13.0,13.0,2.0,15.0,32,26,22,14.0,15,17.0,9.0,3.0,12.0,24,19,19,11.0,9,62
2018-03-02,Binghamton,Boston College,Away,,2,14,,14.0,2.0,2.0,4.0,14,8,14,5.0,7,12.0,14.0,2.0,16.0,26,20,16,5.0,11,62
2018-03-05,Binghamton,Canisius,Home,,12,13,,19.0,12.0,5.0,17.0,33,22,19,7.0,12,19.0,13.0,6.0,19.0,24,18,19,9.0,15,62
2018-03-09,Binghamton,Ohio St.,Home,,13,14,,27.0,13.0,5.0,18.0,28,23,14,8.0,14,14.0,14.0,5.0,19.0,34,24,15,9.0,15,62
2018-03-17,Binghamton,Marist,Away,,8,18,,28.0,8.0,1.0,9.0,26,16,15,9.0,10,23.0,18.0,8.0,26.0,33,23,20,14.0,17,62
2018-03-24,Binghamton,Vermont,Away,,15,8,,20.0,15.0,3.0,18.0,31,23,16,12.0,16,29.0,8.0,5.0,13.0,29,20,15,11.0,9,62
2018-03-31,Binghamton,UAlbany,Away,,10,12,,35.0,10.0,3.0,13.0,28,19,17,6.0,9,22.0,12.0,6.0,18.0,33,19,17,6.0,15,62
2018-04-04,Binghamton,UMBC,Home,,11,5,,13.0,11.0,7.0,18.0,33,20,28,16.0,6,14.0,5.0,,5.0,26,16,20,3.0,11,62
2018-04-07,Binghamton,Stony Brook,Home,,5,18,,12.0,5.0,,5.0,16,9,9,4.0,11,11.0,18.0,8.0,26.0,39,28,20,8.0,13,62
2018-04-14,Binghamton,Hartford,Away,,24,1,,5.0,24.0,10.0,34.0,45,31,33,8.0,18,23.0,1.0,,1.0,7,5,14,2.0,9,62
2018-04-17,Binghamton,Cornell,Home,,7,15,,16.0,7.0,2.0,9.0,28,18,22,9.0,12,11.0,15.0,4.0,19.0,29,23,24,11.0,12,62
2018-04-21,Binghamton,UMass Lowell,Away,,12,9,,37.0,12.0,7.0,19.0,36,27,28,15.0,14,25.0,9.0,4.0,13.0,21,16,23,5.0,8,62
2018-04-28,Binghamton,New Hampshire,Home,,13,7,,17.0,13.0,6.0,19.0,36,27,20,9.0,12,21.0,7.0,2.0,9.0,30,18,19,10.0,10,62
2018-05-04,Binghamton,UAlbany,Home,,10,16,,30.0,10.0,,10.0,38,23,22,8.0,16,30.0,16.0,6.0,22.0,30,22,16,5.0,12,62
2018-02-10,Boston College,Notre Dame,Away,,13,11,,30.0,13.0,4.0,17.0,35,28,17,7.0,14,18.0,11.0,4.0,15.0,23,17,14,8.0,12,67
2018-02-13,Boston College,Holy Cross,Home,,20,2,,9.0,20.0,8.0,28.0,34,29,29,11.0,16,27.0,2.0,,2.0,20,11,19,8.0,7,67
2018-02-17,Boston College,Boston U.,Away,,18,6,,13.0,18.0,5.0,23.0,36,29,18,10.0,14,26.0,6.0,3.0,9.0,20,14,12,5.0,12,67
2018-02-21,Boston College,Massachusetts,Home,,16,9,,12.0,16.0,7.0,23.0,32,27,20,13.0,16,23.0,9.0,5.0,14.0,22,17,21,9.0,11,67
2018-02-24,Boston College,Brown,Home,,22,12,,8.0,22.0,12.0,34.0,40,30,17,7.0,24,19.0,12.0,4.0,16.0,23,19,23,3.0,12,67
2018-02-27,Boston College,Navy,Home,,20,14,,15.0,20.0,12.0,32.0,33,26,14,3.0,22,14.0,14.0,5.0,19.0,26,23,8,6.0,13,67
2018-03-02,Boston College,Binghamton,Home,,14,2,,12.0,14.0,2.0,16.0,26,20,16,5.0,11,14.0,2.0,2.0,4.0,14,8,14,5.0,7,67
2018-03-07,Boston College,Southern California,Away,,13,12,1,17.0,13.0,4.0,17.0,25,20,16,4.0,17,25.0,12.0,2.0,14.0,24,19,19,16.0,9,67
2018-03-10,Boston College,San Diego St.,Away,,19,8,,18.0,19.0,8.0,27.0,43,32,24,13.0,16,18.0,8.0,2.0,10.0,28,17,15,4.0,12,67
2018-03-17,Boston College,Louisville,Away,,19,10,,12.0,19.0,6.0,25.0,38,30,14,6.0,21,23.0,10.0,5.0,15.0,26,21,18,11.0,9,67
2018-03-20,Boston College,Yale,Away,,13,9,,18.0,13.0,3.0,16.0,33,22,21,14.0,12,12.0,9.0,3.0,12.0,19,13,16,11.0,12,67
2018-03-24,Boston College,North Carolina,Home,,17,11,,13.0,17.0,11.0,28.0,35,28,17,6.0,17,22.0,11.0,6.0,17.0,24,19,9,3.0,10,67
2018-03-31,Boston College,Virginia,Away,,15,12,,12.0,15.0,1.0,16.0,31,21,17,8.0,16,28.0,12.0,4.0,16.0,24,19,16,13.0,13,67
2018-04-07,Boston College,Duke,Away,,18,8,,18.0,18.0,9.0,27.0,39,25,20,14.0,14,14.0,8.0,3.0,11.0,19,10,11,6.0,14,67
2018-04-11,Boston College,Dartmouth,Home,,13,10,,18.0,13.0,5.0,18.0,37,21,23,11.0,17,32.0,10.0,2.0,12.0,21,17,20,12.0,8,67
2018-04-14,Boston College,Virginia Tech,Home,,9,7,,21.0,9.0,4.0,13.0,26,17,29,15.0,10,25.0,7.0,1.0,8.0,15,11,22,9.0,8,67
2018-04-19,Boston College,Syracuse,Home,,13,12,,23.0,13.0,9.0,22.0,37,25,31,16.0,14,25.0,12.0,5.0,17.0,27,19,21,8.0,13,67
2018-04-26,Boston College,Louisville,Home,,19,6,,17.0,19.0,5.0,24.0,41,31,21,2.0,21,25.0,6.0,2.0,8.0,21,15,18,4.0,6,67
2018-04-27,Boston College,Notre Dame,Home,,17,7,,19.0,17.0,7.0,24.0,40,30,25,7.0,16,22.0,7.0,1.0,8.0,21,18,11,3.0,9,67
2018-04-29,Boston College,North Carolina,Home,,11,14,,25.0,11.0,4.0,15.0,36,22,19,6.0,11,26.0,14.0,7.0,21.0,27,20,17,5.0,16,67
2018-05-13,Boston College,Princeton,Home,,16,10,,18.0,16.0,7.0,23.0,35,24,17,6.0,17,25.0,10.0,3.0,13.0,25,18,14,8.0,11,67
2018-05-19,Boston College,Stony Brook,Home,,12,11,1,21.0,12.0,7.0,19.0,29,20,15,7.0,20,30.0,11.0,5.0,16.0,20,16,13,8.0,6,67
2018-05-25,Boston College,Maryland,Home,,15,13,,32.0,15.0,2.0,17.0,33,28,11,2.0,17,16.0,13.0,6.0,19.0,32,20,7,3.0,13,67
2018-05-27,Boston College,James Madison,Home,,15,16,,23.0,15.0,11.0,26.0,24,22,13,4.0,20,19.0,16.0,6.0,22.0,33,22,13,11.0,13,67
2018-02-17,Boston U.,Boston College,Home,,6,18,,26.0,6.0,3.0,9.0,20,14,12,5.0,12,13.0,18.0,5.0,23.0,36,29,18,10.0,14,68
2018-02-21,Boston U.,UMass Lowell,Away,,14,10,,22.0,14.0,7.0,21.0,32,28,25,11.0,14,21.0,10.0,5.0,15.0,21,17,18,8.0,11,68
2018-03-04,Boston U.,Duke,Away,,13,21,,20.0,13.0,7.0,20.0,26,25,16,8.0,12,15.0,21.0,7.0,28.0,48,35,18,10.0,23,68
2018-03-07,Boston U.,Johns Hopkins,Away,,11,18,,36.0,11.0,6.0,17.0,30,23,19,7.0,11,26.0,18.0,6.0,24.0,39,28,23,12.0,20,68
2018-03-14,Boston U.,Fairfield,Away,,11,10,2,24.0,11.0,5.0,16.0,23,20,23,10.0,9,10.0,10.0,6.0,16.0,34,22,19,8.0,15,68
2018-03-17,Boston U.,Lehigh,Home,,8,15,,20.0,8.0,2.0,10.0,28,16,16,7.0,11,9.0,15.0,8.0,23.0,28,19,20,2.0,11,68
2018-03-23,Boston U.,Lafayette,Away,,16,8,,30.0,16.0,9.0,25.0,39,30,20,12.0,16,14.0,8.0,,8.0,29,20,19,12.0,10,68
2018-03-28,Boston U.,Colgate,Away,,8,12,,25.0,8.0,3.0,11.0,36,23,29,8.0,9,16.0,12.0,2.0,14.0,33,23,30,15.0,12,68
2018-03-31,Boston U.,Loyola Maryland,Home,,11,18,,27.0,11.0,3.0,14.0,33,23,19,11.0,14,16.0,18.0,8.0,26.0,37,31,19,9.0,16,68
2018-04-04,Boston U.,Harvard,Home,,20,16,,14.0,20.0,12.0,32.0,43,35,15,7.0,21,20.0,16.0,9.0,25.0,37,29,10,1.0,17,68
2018-04-07,Boston U.,American,Away,,19,7,,15.0,19.0,15.0,34.0,37,31,10,6.0,20,6.0,7.0,2.0,9.0,20,15,13,7.0,7,68
2018-04-11,Boston U.,New Hampshire,Home,,16,13,,16.0,16.0,6.0,22.0,36,23,24,9.0,23,20.0,13.0,3.0,16.0,36,22,29,8.0,8,68
2018-04-14,Boston U.,Bucknell,Home,,9,6,,29.0,9.0,5.0,14.0,36,26,25,14.0,12,16.0,6.0,1.0,7.0,24,16,31,8.0,5,68
2018-04-18,Boston U.,Holy Cross,Home,,16,7,,23.0,16.0,6.0,22.0,44,35,25,14.0,16,13.0,7.0,1.0,8.0,30,20,23,8.0,10,68
2018-04-21,Boston U.,Army West Point,Away,,9,8,,20.0,9.0,5.0,14.0,35,27,23,11.0,11,20.0,8.0,4.0,12.0,27,19,16,10.0,8,68
2018-04-28,Boston U.,Navy,Away,,6,23,,24.0,6.0,4.0,10.0,20,16,12,5.0,10,7.0,23.0,10.0,33.0,49,37,22,7.0,20,68
2018-05-01,Boston U.,Colgate,Away,,14,9,,21.0,14.0,7.0,21.0,40,30,36,9.0,16,10.0,9.0,2.0,11.0,30,21,22,13.0,9,68
2018-05-04,Boston U.,Loyola Maryland,Away,,6,15,,15.0,6.0,1.0,7.0,16,12,15,8.0,11,15.0,15.0,6.0,21.0,27,23,21,13.0,12,68
2018-02-17,Brown,Quinnipiac,Home,,18,7,,15.0,18.0,8.0,26.0,39,24,20,8.0,18,22.0,7.0,1.0,8.0,16,12,12,8.0,7,80
2018-02-21,Brown,Holy Cross,Away,,17,6,,11.0,17.0,10.0,27.0,43,29,24,12.0,21,21.0,6.0,2.0,8.0,14,8,14,8.0,4,80
2018-02-24,Brown,Boston College,Away,,12,22,,19.0,12.0,4.0,16.0,23,19,23,3.0,12,8.0,22.0,12.0,34.0,40,30,17,7.0,24,80
2018-03-03,Brown,Princeton,Home,,10,12,,19.0,10.0,3.0,13.0,34,20,12,10.0,16,25.0,12.0,5.0,17.0,28,20,17,7.0,8,80
2018-03-07,Brown,Bryant,Away,,15,14,,14.0,15.0,3.0,18.0,35,30,14,6.0,18,30.0,14.0,6.0,20.0,34,24,19,6.0,13,80
2018-03-10,Brown,Monmouth,Home,,20,10,,12.0,20.0,5.0,25.0,35,25,12,10.0,21,12.0,10.0,5.0,15.0,18,15,18,10.0,11,80
2018-03-17,Brown,Yale,Away,,17,19,,24.0,17.0,7.0,24.0,31,24,15,5.0,10,17.0,19.0,6.0,25.0,35,28,13,8.0,27,80
2018-03-18,Brown,Iona,Home,,10,6,,13.0,10.0,3.0,13.0,27,21,19,11.0,13,27.0,6.0,1.0,7.0,27,19,17,11.0,5,80
2018-03-24,Brown,Penn,Away,,10,16,,12.0,10.0,6.0,16.0,19,17,15,4.0,12,15.0,16.0,9.0,25.0,33,26,20,13.0,16,80
2018-03-28,Brown,Louisville,Home,,17,10,,15.0,17.0,9.0,26.0,35,28,15,8.0,19,23.0,10.0,4.0,14.0,28,20,11,5.0,10,80
2018-03-31,Brown,Sacred Heart,Away,,15,4,,24.0,15.0,5.0,20.0,35,27,16,5.0,17,19.0,4.0,1.0,5.0,21,15,14,8.0,4,80
2018-04-07,Brown,Cornell,Home,,14,13,,15.0,14.0,8.0,22.0,27,20,11,6.0,19,20.0,13.0,3.0,16.0,26,21,14,5.0,9,80
2018-04-14,Brown,Harvard,Away,,14,17,,10.0,14.0,5.0,19.0,28,19,15,6.0,11,26.0,17.0,9.0,26.0,37,27,18,8.0,12,80
2018-04-21,Brown,Columbia,Away,,12,14,,23.0,12.0,2.0,14.0,43,26,19,4.0,15,19.0,14.0,8.0,22.0,41,24,24,7.0,13,80
2018-04-28,Brown,Dartmouth,Home,,17,13,,27.0,17.0,7.0,24.0,26,22,10,11.0,14,32.0,13.0,5.0,18.0,27,23,10,8.0,19,80
2018-02-24,Bryant,UAlbany,Home,,16,6,,18.0,16.0,4.0,20.0,30,20,16,5.0,10,18.0,6.0,1.0,7.0,26,16,11,4.0,12,81
2018-03-03,Bryant,Hartford,Away,,17,2,,8.0,17.0,7.0,24.0,38,25,39,16.0,11,19.0,2.0,1.0,3.0,8,5,20,6.0,9,81
2018-03-07,Bryant,Brown,Home,,14,15,,30.0,14.0,6.0,20.0,34,24,19,6.0,13,14.0,15.0,3.0,18.0,35,30,14,6.0,18,81
2018-03-10,Bryant,Harvard,Away,,18,19,,8.0,18.0,10.0,28.0,34,29,14,5.0,19,21.0,19.0,10.0,29.0,42,28,15,9.0,18,81
2018-03-15,Bryant,Canisius,Away,,6,7,,27.0,6.0,1.0,7.0,21,15,26,12.0,5,21.0,7.0,3.0,10.0,31,18,14,6.0,10,81
2018-03-17,Bryant,Niagara,Away,,18,8,,22.0,18.0,4.0,22.0,31,23,21,13.0,20,28.0,8.0,5.0,13.0,27,18,15,9.0,8,81
2018-03-21,Bryant,UMass Lowell,Home,,15,6,,23.0,15.0,4.0,19.0,32,20,22,15.0,14,15.0,6.0,5.0,11.0,24,14,17,11.0,9,81
2018-03-25,Bryant,Delaware,Home,,11,18,,28.0,11.0,3.0,14.0,27,20,19,8.0,14,35.0,18.0,2.0,20.0,34,29,18,15.0,18,81
2018-03-31,Bryant,Siena,Away,,20,5,,15.0,20.0,3.0,23.0,43,30,17,6.0,18,18.0,5.0,2.0,7.0,18,13,9,6.0,8,81
2018-04-06,Bryant,Central Conn. St.,Away,,22,3,,17.0,22.0,11.0,33.0,31,26,16,8.0,15,19.0,3.0,2.0,5.0,12,10,7,3.0,11,81
2018-04-13,Bryant,Sacred Heart,Home,,18,6,,21.0,18.0,5.0,23.0,34,26,15,11.0,21,12.0,6.0,2.0,8.0,20,13,17,12.0,4,81
2018-04-15,Bryant,LIU,Away,,13,9,,36.0,13.0,6.0,19.0,35,26,17,5.0,10,37.0,9.0,5.0,14.0,32,21,17,5.0,14,81
2018-04-20,Bryant,Robert Morris,Home,,15,9,,18.0,15.0,3.0,18.0,35,25,21,14.0,8,25.0,9.0,4.0,13.0,32,18,16,5.0,18,81
2018-04-22,Bryant,Saint Francis,Home,,21,6,,20.0,21.0,5.0,26.0,36,26,17,11.0,13,22.0,6.0,2.0,8.0,16,13,9,2.0,14,81
2018-04-27,Bryant,Wagner,Away,,11,10,,36.0,11.0,3.0,14.0,27,16,19,12.0,14,22.0,10.0,1.0,11.0,32,25,34,16.0,8,81
2018-04-29,Bryant,Mount St. Mary's,Away,,6,12,,32.0,6.0,1.0,7.0,26,20,14,7.0,11,17.0,12.0,4.0,16.0,24,17,13,5.0,8,81
2018-05-03,Bryant,Mount St. Mary's,Home,,9,8,,33.0,9.0,2.0,11.0,34,22,21,10.0,10,19.0,8.0,2.0,10.0,29,20,13,9.0,9,81
2018-05-05,Bryant,Wagner,Home,,11,12,2,29.0,11.0,2.0,13.0,37,21,19,11.0,16,31.0,12.0,4.0,16.0,29,21,16,12.0,10,81
2018-02-10,Bucknell,Robert Morris,Away,,5,4,2,27.0,5.0,,5.0,12,7,19,7.0,5,26.0,4.0,1.0,5.0,25,15,25,15.0,9,83
2018-02-17,Bucknell,Hofstra,Away,,1,13,,12.0,1.0,,1.0,10,7,13,7.0,1,10.0,13.0,4.0,17.0,30,22,19,10.0,14,83
2018-02-21,Bucknell,Villanova,Home,,7,17,,23.0,7.0,2.0,9.0,11,9,12,9.0,8,19.0,17.0,12.0,29.0,36,28,18,12.0,16,83
2018-02-24,Bucknell,Wagner,Away,,2,15,,25.0,2.0,1.0,3.0,11,9,20,12.0,8,17.0,15.0,1.0,16.0,30,21,29,18.0,11,83
2018-03-10,Bucknell,George Washington,Away,,9,16,,20.0,9.0,2.0,11.0,28,23,12,3.0,12,19.0,16.0,8.0,24.0,32,28,15,6.0,15,83
2018-03-14,Bucknell,Marist,Home,,8,13,,16.0,8.0,1.0,9.0,30,19,21,11.0,5,18.0,13.0,8.0,21.0,26,22,16,9.0,18,83
2018-03-18,Bucknell,American,Away,,15,9,,23.0,15.0,9.0,24.0,35,25,20,7.0,13,21.0,9.0,3.0,12.0,23,19,17,5.0,13,83
2018-03-24,Bucknell,Navy,Home,,5,18,,24.0,5.0,,5.0,13,9,14,10.0,8,28.0,18.0,8.0,26.0,36,30,14,11.0,16,83
2018-03-28,Bucknell,Lafayette,Away,,10,15,,21.0,10.0,4.0,14.0,19,17,14,8.0,7,12.0,15.0,7.0,22.0,41,31,20,13.0,20,83
2018-03-31,Bucknell,Colgate,Home,,10,13,,14.0,10.0,4.0,14.0,29,17,14,13.0,10,24.0,13.0,8.0,21.0,28,19,18,12.0,15,83
2018-04-07,Bucknell,Holy Cross,Home,,11,12,,27.0,11.0,7.0,18.0,40,26,14,12.0,16,47.0,12.0,4.0,16.0,28,20,16,12.0,9,83
2018-04-11,Bucknell,Ohio St.,Home,,10,8,,17.0,10.0,2.0,12.0,29,21,18,2.0,14,26.0,8.0,2.0,10.0,24,21,15,9.0,6,83
2018-04-14,Bucknell,Boston U.,Away,,6,9,,16.0,6.0,1.0,7.0,24,16,31,8.0,5,29.0,9.0,5.0,14.0,36,26,25,14.0,12,83
2018-04-18,Bucknell,Loyola Maryland,Home,,6,18,,17.0,6.0,3.0,9.0,16,10,14,13.0,6,17.0,18.0,14.0,32.0,40,33,23,18.0,19,83
2018-04-22,Bucknell,Lehigh,Away,,5,14,,18.0,5.0,4.0,9.0,20,15,18,12.0,8,13.0,14.0,9.0,23.0,31,26,20,15.0,15,83
2018-04-27,Bucknell,Army West Point,Home,,9,10,,14.0,9.0,3.0,12.0,25,19,17,14.0,9,17.0,10.0,5.0,15.0,25,19,13,8.0,12,83
2018-02-16,Butler,Michigan,Away,,2,12,,20.0,2.0,,2.0,12,11,14,7.0,4,28.0,12.0,3.0,15.0,28,20,19,15.0,11,87
