date,team,opponent,home_away,result,home_score,visitor_score,overtime,g,goals,assists,points,shots,sog,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,pen,pen_time,g_min,goals_allowed,saves,w,l,t,rc,yc,clears,att.x,clear_pct.x,otg.x,defensive_g,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_man_up_g,defensive_man_down_g,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,defensive_pen,defensive_pen_time,defensive_g_min,defensive_goals_allowed,defensive_saves,defensive_w,defensive_l,defensive_t,defensive_rc,defensive_yc,defensive_clears,att.y,clear_pct.y,otg.y,na.x,na_2.x,na_3.x,na_4.x,na_5.x,na_6.x,na.y,na_2.y,na_3.y,na_4.y,na_5.y,na_6.y
2021-04-10,Bellarmine Knights,VMI,Away,FALSE,11,9,NA,1,11,7,18,36,20,1,0,27,18,11,9,23,1,60,60:00,9,14,0,0,0,0,0,21,26,0.808,NA,1,9,6,15,32,23,0,0,26,16,11,14,23,4,150,60:00,11,9,0,0,0,0,0,16,21,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-17,Bellarmine Knights,Cleveland St.,Home,FALSE,11,4,NA,1,11,8,19,27,16,0,0,26,23,17,11,19,2,90,60:00,4,3,0,0,0,0,0,21,23,0.913,NA,1,4,4,8,16,7,0,0,23,27,12,8,19,1,60,60:00,11,5,0,0,0,0,0,18,24,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-24,Bellarmine Knights,Jacksonville,Away,FALSE,7,8,NA,1,7,3,10,30,15,0,0,17,15,6,3,19,2,60,60:00,8,16,0,0,0,0,0,20,23,0.87,NA,1,8,4,12,35,24,0,0,28,16,10,16,19,4,180,60:00,7,8,0,0,0,0,0,15,17,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-05-01,Bellarmine Knights,Mercer,Home,FALSE,11,8,NA,1,11,7,18,31,21,2,0,10,13,7,2,22,1,60,60:00,8,13,0,0,0,0,0,20,24,0.833,NA,1,8,7,15,35,21,0,0,29,24,7,20,22,4,120,60:00,11,10,0,0,0,0,0,14,17,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-06,Binghamton Bearcats,NJIT,Away,FALSE,11,5,NA,1,11,7,18,32,24,0,0,38,22,12,13,18,4,180,60:00,5,5,0,0,0,0,0,17,28,0.607,NA,1,5,3,8,30,10,1,0,30,28,9,5,18,4,210,60:00,11,13,0,0,0,0,0,21,23,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-20,Binghamton Bearcats,UAlbany,Home,FALSE,7,19,NA,1,7,3,10,31,23,1,0,29,20,11,16,29,11,720,60:00,19,19,0,0,0,0,0,14,20,0.7,NA,1,19,13,32,46,38,4,0,43,18,9,13,29,6,450,60:00,7,16,0,0,0,0,0,20,21,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-24,Binghamton Bearcats,UMBC,Home,FALSE,8,7,1,1,8,5,13,25,13,0,0,25,20,9,6,18,5,240,63:59,7,18,0,0,0,0,0,19,25,0.76,1,1,7,5,12,48,25,1,0,31,18,8,12,18,2,90,63:59,8,5,0,0,0,0,0,14,16,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-27,Binghamton Bearcats,UMBC,Away,FALSE,6,7,NA,1,6,2,8,21,14,0,0,26,19,5,10,17,2,90,60:00,7,17,0,0,0,0,0,18,21,0.857,NA,1,7,5,12,45,24,0,0,28,14,4,7,17,1,60,60:00,6,8,0,0,0,0,0,20,21,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-03,Binghamton Bearcats,NJIT,Home,FALSE,11,9,NA,1,11,5,16,37,26,1,0,35,19,12,21,23,6,300,60:00,9,13,0,0,0,0,0,15,16,0.938,NA,1,9,7,16,26,22,1,0,26,19,12,2,23,1,60,60:00,11,15,0,0,0,0,0,20,25,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-10,Binghamton Bearcats,Hartford,Home,FALSE,7,8,NA,1,7,5,12,29,21,1,0,35,25,11,7,19,3,90,60:00,8,16,0,0,0,0,0,23,25,0.92,NA,1,8,2,10,38,24,0,0,35,20,14,12,19,2,210,60:00,7,14,0,0,0,0,0,17,21,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
