Date,Team,Opponent,Home / Away,Result,Home Score,Visitor Score,Overtime,Home Goals,Home Assists,Home Points,Home Shots,Home Shots on Goal,Home Ground Balls,Home Turnovers,Home Caused Turnovers,Home Faceoffs Won,Home Faceoffs Taken,Away Goals,Away Assists,Away Points,Away Shots,Away Shots on Goal,Away Groundball's,Away  Turnovers,Away  Caused Turnovers,Away  Faceoffs Won,Away  Faceoffs Taken,Home Goals Allowed,Home Saves,Away Goals Allowed,Away Saves
2024-04-09,Boston U.,Yale,Home,L,16,18,NA,16,8,24,64,31,34,16,10,17,38,18,11,29,35,24,41,20,6,21,38,18,6,16,15
2024-04-13,Boston U.,Lafayette,Home,L,10,11,NA,10,7,17,33,22,39,21,13,12,24,11,9,20,38,23,26,19,14,12,24,11,12,10,12
2024-04-20,Boston U.,Lehigh,Away,W,12,13,1,12,7,19,33,22,33,15,9,13,29,13,4,17,34,24,40,18,11,16,29,13,11,12,10
2024-04-26,Boston U.,Colgate,Away,L,13,12,NA,13,11,24,42,25,30,23,9,14,29,12,8,20,45,25,29,18,7,15,29,12,13,13,12
2024-04-30,Boston U.,Colgate,Home,W,18,17,3,18,11,29,57,30,54,25,10,25,39,17,14,31,49,33,45,20,11,14,39,17,16,18,12
2024-05-03,Boston U.,Army West Point,Away,L,11,10,1,11,6,17,42,27,28,18,6,14,23,10,8,18,46,25,27,12,9,9,23,10,15,11,16
2024-05-05,Boston U.,"Lehigh West Point, N.Y.",Away,W,10,11,NA,10,8,18,41,18,32,13,10,8,20,11,4,15,36,21,31,21,6,12,20,11,10,10,8
2024-02-17,Brown,Quinnipiac,Away,L,7,13,NA,7,4,11,46,22,20,13,10,12,24,13,6,19,39,22,27,16,11,12,24,13,9,7,15
2024-02-20,Brown,Boston U.,Home,L,10,16,NA,10,2,12,36,17,30,25,9,12,30,16,13,29,44,29,42,20,16,18,30,16,13,10,7
2024-02-24,Brown,Providence,Away,W,11,12,1,11,8,19,44,22,33,20,4,15,26,12,8,20,53,30,34,13,10,11,26,12,18,11,11
2024-03-02,Brown,Georgetown,Away,L,5,11,NA,5,3,8,30,19,22,15,3,10,20,11,9,20,39,22,31,16,9,10,20,11,11,5,14
2024-03-09,Brown,Maryland,Away,W,13,14,1,13,3,16,33,23,28,12,5,17,30,14,9,23,41,22,33,14,8,13,30,14,8,13,10
2024-03-16,Brown,Penn,Away,L,6,11,NA,6,4,10,43,22,34,16,9,12,22,11,6,17,29,19,22,21,6,10,22,11,8,6,16
2024-03-22,Brown,Massachusetts,Home,W,11,10,NA,11,8,19,39,24,31,14,12,12,23,10,6,16,38,26,31,16,5,11,23,10,16,11,13
2024-03-25,Brown,Villanova,Home,L,5,9,NA,5,2,7,33,16,30,18,10,8,18,9,6,15,34,21,23,18,8,10,18,9,12,5,11
2024-03-30,Brown,Yale,Home,L,10,16,NA,10,4,14,39,25,36,13,9,4,29,16,7,23,45,27,41,20,7,25,29,16,11,10,15
2024-04-06,Brown,Cornell,Away,L,8,14,NA,8,2,10,52,32,37,12,10,12,26,14,11,25,45,31,30,17,7,14,26,14,17,8,24
2024-04-13,Brown,Princeton,Home,W,13,12,NA,13,3,16,40,26,31,16,11,14,28,12,8,20,39,26,34,19,11,14,28,12,14,13,13
2024-04-20,Brown,Dartmouth,Home,W,14,11,NA,14,6,20,53,29,33,19,7,13,28,11,7,18,36,26,27,19,11,15,28,11,15,14,15
2024-04-23,Brown,Bryant,Home,W,7,10,NA,7,3,10,37,21,35,21,9,13,20,10,7,17,42,21,31,18,10,7,20,10,11,7,14
2024-04-27,Brown,Harvard,Away,W,10,11,NA,10,4,14,40,21,34,19,5,13,23,11,8,19,40,25,31,15,6,10,23,11,14,10,11
2024-02-10,Bryant,Providence,Away,L,15,13,NA,15,9,24,53,23,40,13,8,21,32,13,9,22,30,21,28,14,8,11,32,13,8,15,8
2024-02-16,Bryant,Boston U.,Away,W,12,6,NA,12,9,21,48,31,46,17,11,18,22,6,3,9,41,19,24,15,14,4,22,6,13,12,19
2024-02-20,Bryant,Harvard,Away,W,13,14,NA,13,4,17,40,22,37,20,1,21,30,14,10,24,40,28,29,10,12,9,30,14,14,13,9
2024-02-24,Bryant,Quinnipiac,Home,L,10,13,NA,10,3,13,43,28,35,17,7,19,27,13,9,22,36,21,39,13,5,8,27,13,8,10,19
2024-03-02,Bryant,Manhattan,Away,W,12,7,NA,12,8,20,38,28,37,20,7,17,23,7,4,11,31,14,30,17,12,6,23,7,7,12,16
2024-03-06,Bryant,Fairfield,Home,L,16,5,NA,16,8,24,42,25,40,15,5,13,25,5,3,8,36,23,33,12,12,12,25,5,18,16,9
2024-03-16,Bryant,UMBC,Away,W,12,13,1,12,9,21,47,26,33,16,5,17,28,13,7,20,36,19,22,18,5,11,28,13,6,12,14
2024-03-23,Bryant,UMass Lowell,Home,L,17,2,NA,17,5,22,49,30,46,12,13,10,23,2,1,3,23,12,28,25,3,13,23,2,10,17,13
2024-03-30,Bryant,NJIT,Home,L,12,8,NA,12,5,17,32,21,40,22,13,14,22,8,6,14,24,17,35,22,13,8,22,8,9,12,9
2024-04-06,Bryant,UAlbany,Away,L,13,12,NA,13,9,22,40,23,41,24,5,13,27,12,7,19,38,24,30,17,12,14,27,12,12,13,10
2024-04-13,Bryant,Vermont,Home,L,12,16,NA,12,5,17,43,35,31,12,7,14,31,16,7,23,54,31,39,15,6,17,31,16,15,12,23
2024-04-20,Bryant,Binghamton,Away,L,17,11,NA,17,10,27,48,29,33,16,5,19,31,11,4,15,51,28,30,13,9,12,31,11,17,17,12
2024-04-23,Bryant,Brown,Away,W,10,7,NA,10,7,17,42,21,31,18,10,7,20,7,3,10,37,21,35,21,9,13,20,7,14,10,11
2024-04-27,Bryant,Merrimack,Home,L,14,16,NA,14,6,20,57,34,36,9,14,19,33,16,10,26,41,26,28,18,4,14,33,16,10,14,20
2024-02-03,Bucknell,Merrimack,Away,W,10,14,NA,10,7,17,32,20,29,21,15,15,27,14,9,23,41,25,30,16,21,12,27,14,11,10,10
2024-02-10,Bucknell,Marist,Away,W,10,17,NA,10,1,11,47,28,39,15,10,14,30,17,9,26,43,26,38,16,11,16,30,17,9,10,18
2024-02-17,Bucknell,Dartmouth,Home,W,15,13,NA,15,9,24,44,23,38,17,10,16,32,13,7,20,32,21,32,18,8,16,32,13,8,15,8
2024-02-24,Bucknell,"Harvard Westport, Conn.",Away,W,12,13,NA,12,5,17,37,24,20,17,3,12,26,13,5,18,46,27,33,14,7,14,26,13,14,12,12
2024-03-02,Bucknell,Holy Cross,Home,L,12,9,NA,12,9,21,39,26,37,19,12,12,25,9,7,16,35,14,32,20,15,13,25,9,5,12,14
2024-03-09,Bucknell,Boston U.,Away,W,10,13,NA,10,7,17,47,25,29,21,9,9,25,13,12,25,25,21,36,25,12,16,25,13,8,10,15
2024-03-12,Bucknell,Richmond,Home,W,5,17,NA,5,1,6,35,17,35,23,15,13,26,17,11,28,31,24,32,23,9,13,26,17,7,5,12
2024-03-16,Bucknell,Colgate,Home,W,4,17,NA,4,3,7,28,18,24,32,10,13,25,17,10,27,51,30,51,29,19,12,25,17,13,4,14
2024-03-23,Bucknell,Lehigh,Away,W,8,9,NA,8,2,10,36,18,29,15,7,6,21,9,4,13,35,15,29,18,9,15,21,9,6,8,10
2024-03-30,Bucknell,Lafayette,Home,L,17,8,NA,17,11,28,47,30,36,14,12,13,29,8,2,10,31,19,31,23,6,16,29,8,11,17,13
2024-04-06,Bucknell,Loyola Maryland,Away,W,13,15,NA,13,4,17,38,21,34,13,8,19,31,15,7,22,38,24,29,11,9,12,31,15,9,13,8
2024-04-12,Bucknell,Le Moyne,Home,W,7,5,NA,7,5,12,30,16,33,17,9,5,15,5,2,7,36,23,27,17,7,10,15,5,18,7,9
2024-04-19,Bucknell,Army West Point,Home,L,11,19,NA,11,9,20,32,18,33,20,13,13,33,19,11,30,44,25,43,22,11,20,33,19,6,11,7
2024-04-26,Bucknell,Navy,Away,W,12,13,1,12,4,16,33,26,32,12,10,8,28,13,10,23,47,25,33,16,6,20,28,13,12,12,14
2024-02-13,Canisius,Michigan,Away,L,5,21,NA,5,3,8,23,11,15,16,2,9,30,21,17,38,49,32,40,14,12,21,30,21,11,5,6
2024-02-17,Canisius,Bellarmine,Away,L,8,7,NA,8,5,13,40,22,17,17,5,9,17,7,6,13,35,18,14,16,10,8,17,7,11,8,14
2024-02-20,Canisius,Hobart,Away,L,9,13,NA,9,6,15,28,16,25,12,7,4,24,13,8,21,53,26,35,18,8,20,24,13,13,9,7
2024-02-24,Canisius,Robert Morris,Away,L,9,8,1,9,2,11,36,16,26,20,10,11,20,8,4,12,40,23,25,17,10,9,20,8,15,9,7
2024-03-01,Canisius,Cleveland St.,Home,W,9,10,2,9,7,16,35,17,32,21,3,12,22,10,6,16,52,23,40,23,12,10,22,10,13,9,8
2024-03-09,Canisius,Quinnipiac,Home,W,7,14,NA,7,3,10,45,23,26,10,4,13,25,14,7,21,35,24,28,12,6,12,25,14,10,7,16
2024-03-12,Canisius,St. Bonaventure,Away,L,8,12,NA,8,5,13,34,18,30,15,8,8,24,12,5,17,41,23,32,15,7,16,24,12,11,8,10
2024-03-16,Canisius,Marist,Away,W,16,20,NA,16,10,26,50,28,35,10,4,17,37,20,16,36,52,33,35,6,4,20,37,20,13,16,12
2024-03-23,Canisius,Manhattan,Home,W,5,12,NA,5,1,6,36,22,45,18,5,16,20,12,4,16,32,19,20,13,8,4,20,12,7,5,17
2024-03-27,Canisius,Siena,Away,L,13,12,NA,13,6,19,42,21,41,15,7,14,29,12,7,19,48,27,30,17,8,15,29,12,15,13,8
2024-03-30,Canisius,VMI,Away,L,8,12,NA,8,5,13,41,21,24,22,5,15,24,12,4,16,42,24,24,16,8,9,24,12,12,8,13
2024-04-05,Canisius,LIU,Home,L,15,17,NA,15,8,23,40,21,48,21,7,23,36,17,9,26,37,31,36,13,5,13,36,17,14,15,6
2024-04-10,Canisius,Mount St. Mary's,Home,W,11,10,NA,11,4,15,36,26,41,21,8,12,24,10,5,15,47,22,31,22,3,12,24,10,12,11,15
2024-04-13,Canisius,Wagner,Away,L,9,7,NA,9,5,14,35,22,29,18,8,13,20,7,5,12,47,21,32,20,12,7,20,7,14,9,13
2024-04-20,Canisius,Sacred Heart,Home,L,12,13,NA,12,5,17,41,18,37,22,8,17,29,13,6,19,44,25,41,18,8,12,29,13,12,12,6
2024-02-03,Cleveland St.,VMI,Away,L,12,11,1,12,4,16,37,22,22,17,3,13,27,11,5,16,41,25,28,18,7,14,27,11,14,12,10
2024-02-10,Cleveland St.,Ohio St.,Away,L,6,13,NA,6,2,8,33,21,23,14,7,6,23,13,6,19,54,25,42,16,5,17,23,13,12,6,15
2024-02-14,Cleveland St.,Notre Dame,Away,L,3,25,NA,3,1,4,17,13,14,19,5,11,30,25,18,43,49,35,44,10,10,19,30,25,10,3,10
2024-02-24,Cleveland St.,High Point,Home,L,11,18,NA,11,4,15,27,19,27,22,9,10,33,18,10,28,38,29,42,23,12,23,33,18,11,11,8
2024-03-01,Cleveland St.,Canisius,Away,W,10,9,2,10,6,16,52,23,40,23,12,10,22,9,7,16,35,17,32,21,3,12,22,9,8,10,13
2024-03-09,Cleveland St.,St. Bonaventure,Home,L,10,8,NA,10,5,15,44,17,42,23,12,12,21,8,4,12,22,15,27,23,8,9,21,8,7,10,7
2024-03-16,Cleveland St.,Lindenwood,Away,W,10,7,NA,10,4,14,41,18,31,21,5,15,21,7,4,11,27,15,31,17,7,6,21,7,8,10,8
2024-03-23,Cleveland St.,Robert Morris,Home,L,13,6,NA,13,6,19,35,19,31,24,6,9,23,6,6,12,37,17,30,28,10,14,23,6,11,13,6
2024-03-27,Cleveland St.,Jacksonville,Away,L,6,18,NA,6,2,8,28,17,27,13,8,12,28,18,16,34,43,30,32,15,11,16,28,18,12,6,11
2024-03-31,Cleveland St.,Air Force,Away,L,9,12,NA,9,5,14,28,19,25,17,6,14,22,12,9,21,41,26,34,12,10,8,22,12,14,9,10
2024-04-06,Cleveland St.,Mercer,Home,L,16,9,NA,16,10,26,37,28,37,18,9,15,27,9,7,16,36,21,38,19,11,12,27,9,12,16,12
2024-04-10,Cleveland St.,Queens (NC),Home,L,12,7,NA,12,7,19,41,25,40,17,4,12,21,7,2,9,39,26,26,10,7,9,21,7,19,12,13
2024-04-13,Cleveland St.,Bellarmine,Away,L,9,14,NA,9,8,17,41,21,18,14,1,14,27,14,5,19,34,25,30,12,7,13,27,14,11,9,12
2024-04-20,Cleveland St.,Utah,Home,W,7,16,NA,7,3,10,28,21,34,25,7,13,27,16,14,30,59,34,46,17,16,14,27,16,18,7,14
2024-04-27,Cleveland St.,Detroit Mercy,Away,W,13,8,NA,13,9,22,39,23,20,8,9,7,24,8,2,10,32,21,30,20,4,17,24,8,13,13,10
2024-04-30,Cleveland St.,"Bellarmine USAF Academy, Colo.",Away,L,15,12,NA,15,8,23,38,22,26,15,6,16,30,12,12,24,37,24,28,12,5,14,30,12,12,15,7
2024-05-03,Cleveland St.,"Utah USAF Academy, Colo.",Away,L,5,21,NA,5,1,6,28,18,31,23,3,16,30,21,15,36,63,34,41,12,13,14,30,21,13,5,13
2024-02-03,Colgate,Penn St.,Away,L,13,12,NA,13,2,15,37,20,37,21,15,10,29,12,10,22,43,25,39,25,12,19,29,12,13,13,7
2024-02-05,Colgate,Syracuse,Away,W,10,18,NA,10,8,18,37,21,27,18,10,7,31,18,15,33,59,36,59,21,15,24,31,18,18,10,11
2024-02-11,Colgate,Hobart,Away,L,16,11,NA,16,9,25,52,29,31,17,6,10,30,11,8,19,44,25,26,20,5,20,30,11,14,16,13
2024-02-17,Colgate,UAlbany,Away,L,11,10,NA,11,6,17,35,24,37,20,16,9,24,10,8,18,34,23,40,27,12,15,24,10,13,11,13
2024-02-21,Colgate,"Yale Albany, N.Y.",Away,W,11,21,NA,11,4,15,38,25,42,27,12,13,36,21,11,32,47,37,50,27,15,23,36,21,16,11,14
2024-02-24,Colgate,Villanova,Away,L,9,15,NA,9,5,14,32,18,20,27,11,12,26,15,13,28,39,26,34,18,16,14,26,15,11,9,9
2024-03-02,Colgate,Loyola Maryland,Home,W,14,11,NA,14,7,21,38,24,30,19,1,17,29,11,6,17,47,31,22,11,8,12,29,11,20,14,10
2024-03-09,Colgate,Lafayette,Home,W,16,10,NA,16,14,30,46,25,26,19,11,17,30,10,7,17,28,19,21,24,6,13,30,10,9,16,9
2024-03-16,Colgate,Bucknell,Away,W,17,4,NA,17,10,27,51,30,51,29,19,12,25,4,3,7,28,18,24,32,10,13,25,4,14,17,13
2024-03-30,Colgate,Navy,Away,L,9,10,NA,9,5,14,48,24,37,23,11,9,22,10,8,18,39,23,32,20,8,13,22,10,13,9,15
2024-04-06,Colgate,Army West Point,Away,L,14,11,NA,14,9,23,31,20,27,30,13,6,28,11,8,19,47,29,40,24,18,22,28,11,18,14,6
2024-04-13,Colgate,Lehigh,Home,L,7,9,NA,7,5,12,34,17,26,17,11,4,18,9,7,16,25,13,25,23,4,14,18,9,4,7,10
2024-04-20,Colgate,Holy Cross,Away,W,18,8,NA,18,10,28,52,32,43,19,17,11,30,8,8,16,31,18,36,28,5,19,30,8,10,18,14
2024-04-26,Colgate,Boston U.,Home,L,12,13,NA,12,8,20,45,25,29,18,7,15,29,13,11,24,42,25,30,23,9,14,29,13,12,12,13
2024-04-30,Colgate,Boston U.,Away,W,17,18,3,17,14,31,49,33,45,20,11,14,39,18,11,29,57,30,54,25,10,25,39,18,12,17,16
2024-02-17,Cornell,Lehigh,Home,W,17,13,NA,17,10,27,45,28,46,18,7,23,34,13,2,15,44,27,33,14,7,11,34,13,14,17,11
2024-02-24,Cornell,Denver,Away,W,16,17,NA,16,9,25,43,28,26,13,1,15,37,17,13,30,48,28,42,7,6,22,37,17,11,16,12
2024-02-27,Cornell,Hobart,Home,L,23,7,NA,23,12,35,49,33,37,13,9,15,33,7,2,9,44,22,26,16,3,18,33,7,15,23,10
2024-03-02,Cornell,Ohio St.,Home,W,15,11,NA,15,7,22,39,26,32,13,8,12,30,11,6,17,41,24,30,21,8,18,30,11,13,15,11
2024-03-09,Cornell,Penn St.,Away,L,9,20,NA,9,7,16,40,24,33,17,10,19,33,20,12,32,48,31,30,14,9,14,33,20,11,9,15
