date,team,opponent,home_away,result,home_score,visitor_score,overtime,goals,assists,points,shots,sog,gb,to,ct,fo_won,f_os_taken,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,goals_allowed,saves,defensive_goals_allowed,defensive_saves
2025-03-01,Canisius,Cleveland St.,Away,L,8,11,NA,8,4,12,33,22,33,18,4,10,23,11,4,15,39,26,40,17,10,13,23,11,15,8,14
2025-03-08,Canisius,Sacred Heart,Home,L,10,8,NA,10,6,16,36,20,34,16,10,15,22,8,5,13,35,17,28,20,7,7,22,8,9,10,10
2025-03-11,Canisius,St. Bonaventure,Home,L,6,7,NA,6,3,9,27,15,31,18,8,8,15,7,6,13,34,19,25,16,3,7,15,7,12,6,9
2025-03-15,Canisius,Merrimack,Home,L,10,9,NA,10,6,16,42,22,31,22,9,12,21,9,8,17,25,12,23,21,8,9,21,9,3,10,12
2025-03-22,Canisius,Quinnipiac,Away,W,10,9,NA,10,8,18,29,21,23,14,5,13,22,9,7,16,29,14,20,11,11,9,22,9,5,10,11
2025-03-26,Canisius,Marist,Away,W,10,14,NA,10,4,14,23,15,26,14,6,5,28,14,6,20,56,28,27,11,8,23,28,14,14,10,5
2025-03-29,Canisius,Manhattan,Home,W,8,7,NA,8,4,12,44,18,34,20,9,13,19,7,2,9,35,17,24,17,10,6,19,7,10,8,10
2025-04-05,Canisius,Mount St. Mary's,Away,W,12,6,NA,12,6,18,45,21,22,18,8,11,21,6,3,9,29,14,17,18,6,10,21,6,8,12,9
2025-02-08,Cleveland St.,Ohio St.,Away,L,4,14,NA,4,1,5,30,12,32,27,15,7,21,14,9,23,47,27,41,23,15,14,21,14,13,4,8
2025-02-12,Cleveland St.,Notre Dame,Away,L,6,24,NA,6,2,8,26,18,25,16,3,13,33,24,19,43,51,33,40,9,7,20,33,24,9,6,12
2025-02-18,Cleveland St.,Bellarmine,Home,W,16,10,NA,16,10,26,44,29,32,18,10,19,30,10,7,17,31,22,35,19,7,11,30,10,12,16,13
2025-02-22,Cleveland St.,Marquette,Away,L,7,15,NA,7,3,10,24,16,25,18,5,12,26,15,12,27,56,28,29,9,5,14,26,15,13,7,9
2025-03-01,Cleveland St.,Canisius,Home,L,11,8,NA,11,4,15,39,26,40,17,10,13,23,8,4,12,33,22,33,18,4,10,23,8,14,11,15
2025-03-04,Cleveland St.,Michigan,Away,L,5,19,NA,5,3,8,23,10,21,24,9,11,28,19,12,31,48,28,44,21,12,17,28,19,9,5,5
2025-03-08,Cleveland St.,St. Bonaventure,Away,W,6,8,NA,6,2,8,28,16,26,21,9,10,17,8,4,12,40,19,26,15,10,7,17,8,11,6,10
2025-03-15,Cleveland St.,Wagner,Away,W,14,8,NA,14,9,23,34,24,30,17,10,9,25,8,5,13,27,18,30,16,8,16,25,8,10,14,10
2025-03-22,Cleveland St.,Le Moyne,Away,L,6,11,NA,6,2,8,37,22,25,17,3,11,20,11,5,16,28,17,27,18,3,9,20,11,6,6,16
2025-03-29,Cleveland St.,VMI,Home,W,9,11,NA,9,4,13,39,24,34,16,5,17,24,11,5,16,42,26,34,11,8,7,24,11,15,9,15
2025-04-05,Cleveland St.,Mercyhurst,Away,L,13,10,NA,13,9,22,37,21,35,20,8,21,27,10,6,16,39,22,28,14,13,6,27,10,12,13,8
2025-02-01,Colgate,Penn St.,Away,L,9,14,NA,9,3,12,34,23,21,17,7,11,27,14,13,27,45,26,37,18,15,16,27,14,12,9,14
2025-02-08,Colgate,Virginia,Away,L,9,19,NA,9,5,14,46,21,32,25,9,12,32,19,14,33,69,36,57,20,14,20,32,19,17,9,12
2025-02-14,Colgate,UAlbany,Away,L,19,14,NA,19,12,31,62,30,52,14,10,20,36,14,10,24,43,23,32,19,11,16,36,14,9,19,11
2025-02-18,Colgate,Harvard,Away,L,19,15,NA,19,10,29,49,32,49,19,8,20,37,15,12,27,42,27,43,19,11,17,37,15,12,19,13
2025-02-22,Colgate,Villanova,Away,W,16,5,NA,16,9,25,50,31,51,24,26,9,24,5,1,6,42,23,31,33,11,15,24,5,18,16,15
2025-03-01,Colgate,Loyola Maryland,Away,W,18,6,NA,18,10,28,53,35,44,20,18,11,27,6,5,11,39,22,39,25,9,16,27,6,16,18,17
2025-03-08,Colgate,Lafayette,Away,L,19,14,NA,19,11,30,48,32,36,18,13,14,35,14,12,26,35,22,34,24,10,21,35,14,8,19,13
