season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,rc,yc,gc,draw_controls
2025,FDU,222,12.0,Addie Weidner,Addie Weidner,Addie,Weidner,So,M,14.0,0.0,2.0,1.0,3.0,6.0,5.0,1.0,8773534,,,5.0,1.0,,,1.0,2.0,14.0
2025,FDU,222,13.0,Karly Dillabough,Karly Dillabough,Karly,Dillabough,So,M,16.0,16.0,28.0,3.0,31.0,59.0,44.0,4.0,8771367,1.0,11.0,13.0,15.0,10.0,,3.0,2.0,21.0
2025,FDU,222,26.0,Kendal Hippert,Kendal Hippert,Kendal,Hippert,So,D,14.0,13.0,,,0.0,,,10.0,8771427,10.0,23.0,9.0,,,,3.0,,
2025,FDU,222,11.0,Brielle McInaw,Brielle McInaw,Brielle,McInaw,Jr,M,16.0,16.0,32.0,7.0,39.0,80.0,58.0,20.0,8768351,22.0,22.0,24.0,14.0,7.0,,3.0,5.0,66.0
2025,FDU,222,16.0,Mackenzie Giddens,Mackenzie Giddens,Mackenzie,Giddens,So,ATT,3.0,0.0,,,0.0,,,,8773163,,,,,,,,,
2025,FDU,222,7.0,Julia Corry,Julia Corry,Julia,Corry,Jr,ATT,13.0,2.0,2.0,8.0,10.0,4.0,3.0,5.0,8781584,,5.0,16.0,1.0,1.0,,,3.0,
2025,FDU,222,3.0,Abigail McDonald,Abigail McDonald,Abigail,McDonald,Jr,D,16.0,16.0,,,0.0,,,10.0,8781727,14.0,25.0,18.0,,,,4.0,3.0,4.0
2025,FDU,222,10.0,Lane Mintchwarner,Lane Mintchwarner,Lane,Mintchwarner,So,D,16.0,16.0,,,0.0,4.0,1.0,10.0,8780391,9.0,21.0,4.0,,,,3.0,,11.0
2025,FDU,222,2.0,Maeve Chamberlin,Maeve Chamberlin,Maeve,Chamberlin,So,M,16.0,3.0,4.0,,4.0,14.0,11.0,1.0,8780804,,4.0,14.0,4.0,1.0,,1.0,4.0,
2025,FDU,222,22.0,Skylar Goodman,Skylar Goodman,Skylar,Goodman,Jr,GK,15.0,15.0,,,0.0,,,3.0,8779257,,37.0,6.0,,,,,,
2025,FDU,222,14.0,Nora Codianni,Nora Codianni,Nora,Codianni,So,M,16.0,16.0,23.0,2.0,25.0,43.0,35.0,22.0,8781498,15.0,27.0,25.0,13.0,7.0,,1.0,13.0,43.0
2025,FDU,222,28.0,Riley Eaton,Riley Eaton,Riley,Eaton,Jr,ATT,16.0,10.0,23.0,9.0,32.0,58.0,39.0,5.0,8776695,,7.0,38.0,7.0,4.0,,2.0,1.0,1.0
2025,FDU,222,9.0,Casey Koenig,Casey Koenig,Casey,Koenig,So,D,14.0,14.0,,,0.0,,,7.0,8775357,6.0,14.0,8.0,,,,2.0,,
2025,FDU,222,4.0,Laura Mancinelli,Laura Mancinelli,Laura,Mancinelli,Jr,D,15.0,8.0,,,0.0,,,8.0,8776136,7.0,9.0,1.0,,,,,,
2025,FDU,222,21.0,Adriana Mavlios,Adriana Mavlios,Adriana,Mavlios,Fr,ATT,16.0,15.0,23.0,15.0,38.0,55.0,44.0,1.0,9105207,,5.0,25.0,17.0,7.0,,2.0,1.0,
2025,FDU,222,6.0,Jayanna Ramsey-Williams,Jayanna Ramsey-Williams,Jayanna,Ramsey-Williams,Fr,D,9.0,4.0,,,0.0,,,1.0,9105201,3.0,8.0,1.0,,,,1.0,1.0,
2025,FDU,222,5.0,Ashley Bonilla,Ashley Bonilla,Ashley,Bonilla,Fr,D,12.0,1.0,,,0.0,,,4.0,9105199,6.0,7.0,6.0,,,,4.0,1.0,
2025,FDU,222,15.0,Lindsay Evak,Lindsay Evak,Lindsay,Evak,Fr,M,1.0,0.0,,,0.0,,,,9105205,,,,,,,,,
2025,FDU,222,27.0,Kailey Korkuc,Kailey Korkuc,Kailey,Korkuc,Fr,D,1.0,0.0,,,0.0,,,,9105209,,,,,,,,,
2025,FDU,222,30.0,Ava Egan,Ava Egan,Ava,Egan,Fr,M,4.0,0.0,,,0.0,,,,9105211,,,,,,,,,
2025,FDU,222,35.0,Ashlee Stanley,Ashlee Stanley,Ashlee,Stanley,Fr,GK,4.0,0.0,,,0.0,,,,9105212,,3.0,1.0,,,,,,
2025,FDU,222,44.0,Bella Gismondi,Bella Gismondi,Bella,Gismondi,Sr,GK,8.0,1.0,,,0.0,,,1.0,9105215,,2.0,1.0,,,,,,
2025,FDU,222,24.0,Shaelin Cassidy,Shaelin Cassidy,Shaelin,Cassidy,Jr,D,16.0,8.0,,,0.0,,,7.0,9088178,6.0,8.0,,,,,2.0,1.0,
2025,Fairfield,220,34.0,Katelyn Greeley,Katelyn Greeley,Katelyn,Greeley,So,M,19.0,18.0,6.0,2.0,8.0,15.0,9.0,11.0,8766061,27.0,19.0,14.0,2.0,1.0,,4.0,3.0,2.0
2025,Fairfield,220,27.0,Sophia Colasacco,Sophia Colasacco,Sophia,Colasacco,So,M,10.0,0.0,,,0.0,,,2.0,8766955,3.0,4.0,5.0,,,,2.0,,1.0
2025,Fairfield,220,25.0,Grace Kiernan,Grace Kiernan,Grace,Kiernan,Jr,D,18.0,18.0,,,0.0,,,20.0,8772558,21.0,25.0,6.0,,,,1.0,,
2025,Fairfield,220,18.0,Grace Slater,Grace Slater,Grace,Slater,Sr,ATT,16.0,15.0,45.0,19.0,64.0,70.0,59.0,4.0,8766246,14.0,2.0,24.0,10.0,4.0,,3.0,,4.0
2025,Fairfield,220,2.0,Brooke Marotti,Brooke Marotti,Brooke,Marotti,Sr,ATT,19.0,19.0,27.0,20.0,47.0,58.0,45.0,1.0,8772861,4.0,12.0,28.0,9.0,4.0,,1.0,,1.0
2025,Fairfield,220,20.0,Mary Henry,Mary Henry,Mary,Henry,Jr,ATT,13.0,0.0,20.0,14.0,34.0,42.0,29.0,,8770993,2.0,3.0,12.0,4.0,1.0,,,,
2025,Fairfield,220,50.0,Anya Holland,Anya Holland,Anya,Holland,Sr,GK,1.0,0.0,,,0.0,,,,8771699,,,,,,,,,
2025,Fairfield,220,5.0,Haley Burns,Haley Burns,Haley,Burns,Sr,M,19.0,19.0,21.0,6.0,27.0,48.0,32.0,28.0,8767790,25.0,26.0,29.0,8.0,3.0,,5.0,5.0,34.0
2025,Fairfield,220,10.0,Brynn Donnelly,Brynn Donnelly,Brynn,Donnelly,Jr,M,19.0,19.0,,,0.0,,,,8768364,13.0,,9.0,,,,3.0,4.0,149.0
2025,Fairfield,220,8.0,Kelly Haggerty,Kelly Haggerty,Kelly,Haggerty,So,ATT,19.0,5.0,47.0,12.0,59.0,123.0,84.0,6.0,8774226,17.0,21.0,41.0,19.0,9.0,,2.0,6.0,1.0
2025,Fairfield,220,19.0,Kyleigh Tufano,Kyleigh Tufano,Kyleigh,Tufano,Sr,ATT,19.0,0.0,13.0,1.0,14.0,32.0,20.0,,8781772,1.0,2.0,2.0,2.0,,,,2.0,
2025,Fairfield,220,16.0,Keira Savage,Keira Savage,Keira,Savage,Jr,D,3.0,0.0,,,0.0,,,,8782148,,2.0,,,,,,,3.0
2025,Fairfield,220,26.0,Katherine Shammas,Katherine Shammas,Katherine,Shammas,Jr,M,19.0,1.0,1.0,1.0,2.0,1.0,1.0,17.0,8782418,16.0,30.0,9.0,,,,1.0,,8.0
2025,Fairfield,220,6.0,Katie Repp,Katie Repp,Katie,Repp,So,ATT,2.0,0.0,1.0,,1.0,1.0,1.0,,8781281,,,2.0,,,,,,
2025,Fairfield,220,21.0,Katie Bergen,Katie Bergen,Katie,Bergen,Sr,M,19.0,0.0,7.0,2.0,9.0,15.0,12.0,5.0,8782576,17.0,11.0,10.0,1.0,,,1.0,5.0,8.0
2025,Fairfield,220,14.0,Delaney Brimhall,Delaney Brimhall,Delaney,Brimhall,So,D,19.0,19.0,,,0.0,,,15.0,8778339,16.0,27.0,8.0,,,,,,
2025,Fairfield,220,4.0,Paige Gardner,Paige Gardner,Paige,Gardner,So,ATT,7.0,0.0,3.0,,3.0,4.0,4.0,,8778437,,2.0,2.0,1.0,1.0,,1.0,,
2025,Fairfield,220,23.0,Charlotte Loughlin,Charlotte Loughlin,Charlotte,Loughlin,Fr,ATT,2.0,0.0,,,0.0,1.0,1.0,,9099838,1.0,,,,,,,,
2025,Fairfield,220,12.0,Maggie Lonsinger,Maggie Lonsinger,Maggie,Lonsinger,Sr,D,19.0,19.0,,,0.0,,,10.0,9099848,16.0,17.0,5.0,,,,1.0,1.0,
2025,Fairfield,220,3.0,Nina Franco,Nina Franco,Nina,Franco,Fr,D,2.0,0.0,,,0.0,,,,9099835,2.0,,,,,,,2.0,
2025,Fairfield,220,24.0,Keira Furey,Keira Furey,Keira,Furey,Fr,GK,19.0,18.0,,,0.0,,,1.0,9099839,,42.0,2.0,,,,,,
2025,Fairfield,220,44.0,Sarah Sullivan,Sarah Sullivan,Sarah,Sullivan,Fr,M,3.0,0.0,,,0.0,,,,9099844,,,,,,,,,
2025,Fairfield,220,36.0,Macey Daly,Macey Daly,Macey,Daly,Sr,D,19.0,19.0,,,0.0,,,15.0,9099857,22.0,21.0,9.0,,,,4.0,1.0,
2025,Fairfield,220,1.0,Tessa Caputo,Tessa Caputo,Tessa,Caputo,Fr,ATT,16.0,0.0,5.0,22.0,27.0,12.0,9.0,,9099834,2.0,9.0,13.0,,,,1.0,2.0,
2025,Fairfield,220,15.0,Eva Petrone,Eva Petrone,Eva,Petrone,Sr,M,19.0,19.0,,,0.0,3.0,,16.0,9099851,16.0,13.0,2.0,,,,4.0,1.0,26.0
2025,Fairfield,220,13.0,Kit Zanelli,Kit Zanelli,Kit,Zanelli,Jr,ATT,15.0,0.0,5.0,2.0,7.0,12.0,11.0,3.0,9099849,7.0,,12.0,1.0,1.0,,1.0,3.0,31.0
2025,Fairfield,220,32.0,Amanda Kozak,Amanda Kozak,Amanda,Kozak,Sr,ATT,19.0,19.0,35.0,38.0,73.0,63.0,46.0,2.0,9099856,2.0,7.0,29.0,16.0,6.0,,,1.0,2.0
2025,Fairfield,220,35.0,Ally Zamparelli,Ally Zamparelli,Ally,Zamparelli,Fr,GK,6.0,1.0,,,0.0,,,,9099842,,1.0,1.0,,,,,,
2025,Fairfield,220,22.0,Julia Preston,Julia Preston,Julia,Preston,Fr,ATT,1.0,0.0,,,0.0,,,,9099837,,,,,,,,,
2025,Florida,235,0.0,Cate Issacson,Cate Issacson,Cate,Issacson,So,M,9.0,0.0,6.0,,6.0,14.0,9.0,,8773395,1.0,,3.0,2.0,1.0,,,,
2025,Florida,235,11.0,Sydney Wilson,Sydney Wilson,Sydney,Wilson,Jr,M,10.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,8773401,2.0,2.0,3.0,1.0,,,,,5.0
2025,Florida,235,25.0,Theresa Bragg,Theresa Bragg,Theresa,Bragg,Jr,D,23.0,23.0,,,0.0,2.0,,29.0,8765730,48.0,23.0,4.0,,,,6.0,1.0,5.0
2025,Florida,235,15.0,Josie Hahn,Josie Hahn,Josie,Hahn,Sr,M,23.0,22.0,15.0,1.0,16.0,31.0,23.0,9.0,8766768,14.0,26.0,5.0,1.0,1.0,,1.0,2.0,5.0
2025,Florida,235,34.0,Alyssa Deacy,Alyssa Deacy,Alyssa,Deacy,So,M,12.0,0.0,4.0,,4.0,5.0,5.0,2.0,8770913,2.0,,3.0,1.0,,,,,3.0
2025,Florida,235,32.0,Ava Tighe,Ava Tighe,Ava,Tighe,Jr,ATT,15.0,2.0,14.0,5.0,19.0,32.0,25.0,1.0,8767423,2.0,3.0,8.0,7.0,3.0,,,1.0,
2025,Florida,235,16.0,Frannie Hahn,Frannie Hahn,Frannie,Hahn,So,ATT,23.0,18.0,33.0,59.0,92.0,73.0,51.0,9.0,8779763,7.0,26.0,25.0,3.0,,,,2.0,1.0
2025,Florida,235,5.0,Kaitlyn Davies,Kaitlyn Davies,Kaitlyn,Davies,Jr,M,23.0,23.0,51.0,8.0,59.0,97.0,78.0,24.0,8782852,31.0,33.0,19.0,25.0,14.0,,7.0,6.0,48.0
2025,Florida,235,28.0,Jenny Woodings,Jenny Woodings,Jenny,Woodings,Jr,M,17.0,6.0,,,0.0,,,1.0,8781949,9.0,2.0,1.0,,,,1.0,1.0,18.0
2025,Florida,235,27.0,Gianna Monaco,Gianna Monaco,Gianna,Monaco,Jr,ATT,23.0,21.0,73.0,22.0,95.0,154.0,121.0,10.0,8782129,7.0,22.0,27.0,26.0,13.0,,1.0,2.0,3.0
2025,Florida,235,26.0,Ashley Dyer,Ashley Dyer,Ashley,Dyer,So,D,23.0,23.0,,,0.0,1.0,,23.0,8783355,24.0,40.0,4.0,1.0,,,4.0,1.0,3.0
2025,Florida,235,24.0,Gabbi Koury,Gabbi Koury,Gabbi,Koury,So,M,19.0,5.0,20.0,11.0,31.0,44.0,40.0,6.0,8781092,11.0,11.0,15.0,6.0,3.0,,2.0,1.0,43.0
2025,Florida,235,12.0,Macy Zaban,Macy Zaban,Macy,Zaban,Sr,M,10.0,0.0,3.0,3.0,6.0,7.0,6.0,,8783567,,1.0,3.0,1.0,,,,,
2025,Florida,235,4.0,Brie Catts,Brie Catts,Brie,Catts,Sr,M,14.0,0.0,,,0.0,,,1.0,8781370,2.0,,,,,,,1.0,1.0
2025,Florida,235,18.0,Sam Hughes,Sam Hughes,Sam,Hughes,So,DM,23.0,23.0,,,0.0,,,12.0,8777904,27.0,14.0,6.0,,,,1.0,1.0,
2025,Florida,235,33.0,Elyse Finnelle,Elyse Finnelle,Elyse,Finnelle,Jr,GK,22.0,16.0,,,0.0,,,4.0,8777908,,19.0,1.0,,,,,,
2025,Florida,235,20.0,Celeste Forte,Celeste Forte,Celeste,Forte,Sr,D,23.0,23.0,1.0,,1.0,4.0,1.0,18.0,8777466,29.0,26.0,10.0,,,,2.0,3.0,3.0
2025,Florida,235,35.0,Georgia Hoey,Georgia Hoey,Georgia,Hoey,Sr,GK,18.0,7.0,,,0.0,,,1.0,9296291,,17.0,2.0,,,,,,
2025,Florida,235,99.0,Colleen Ryan,Colleen Ryan,Colleen,Ryan,So,D,10.0,0.0,,,0.0,,,,9296542,2.0,2.0,1.0,,,,,,
2025,Florida,235,50.0,Susan Radebaugh,Susan Radebaugh,Susan,Radebaugh,Fr,GK,10.0,0.0,,,0.0,,,1.0,9101695,,3.0,,,,,,,
2025,Florida,235,2.0,Sophia Cardella,Sophia Cardella,Sophia,Cardella,Fr,M,1.0,0.0,,,0.0,,,,9101660,,,,,,,,,
2025,Florida,235,19.0,Caylin Luciano,Caylin Luciano,Caylin,Luciano,Fr,ATT,10.0,0.0,4.0,3.0,7.0,9.0,8.0,1.0,9101683,1.0,2.0,2.0,1.0,,,,,
2025,Florida,235,21.0,Clark Hamilton,Clark Hamilton,Clark,Hamilton,Fr,ATT,23.0,8.0,55.0,15.0,70.0,102.0,84.0,3.0,9101687,5.0,18.0,33.0,30.0,16.0,,1.0,4.0,5.0
2025,Florida,235,23.0,Riley Zusi,Riley Zusi,Riley,Zusi,Fr,M,23.0,11.0,1.0,,1.0,2.0,1.0,1.0,9101692,15.0,4.0,2.0,,,,,6.0,32.0
2025,Florida,235,6.0,Jordan Basso,Jordan Basso,Jordan,Basso,Sr,ATT,23.0,20.0,37.0,38.0,75.0,59.0,52.0,5.0,9101701,2.0,28.0,22.0,5.0,3.0,,1.0,,3.0
2025,Florida,235,48.0,Jenny Markey,Jenny Markey,Jenny,Markey,Sr,M,23.0,16.0,20.0,6.0,26.0,47.0,32.0,9.0,9101703,12.0,18.0,13.0,9.0,4.0,,1.0,6.0,44.0
2025,Florida,235,1.0,Gabby Greene,Gabby Greene,Gabby,Greene,Fr,M,23.0,1.0,25.0,3.0,28.0,49.0,38.0,6.0,9101656,12.0,12.0,5.0,3.0,3.0,,2.0,,32.0
2025,Florida,235,17.0,Cali Bishop,Cali Bishop,Cali,Bishop,Jr,M,22.0,6.0,,,0.0,,,,9101698,3.0,,4.0,,,,,,52.0
2025,Florida,235,10.0,Chiara Scichilone,Chiara Scichilone,Chiara,Scichilone,Fr,M,19.0,2.0,1.0,1.0,2.0,8.0,3.0,7.0,9101665,8.0,8.0,,3.0,1.0,,,1.0,16.0
2025,Florida,235,9.0,Ryann Frechette,Ryann Frechette,Ryann,Frechette,Fr,M,11.0,0.0,4.0,4.0,8.0,7.0,5.0,1.0,9101663,1.0,2.0,3.0,3.0,1.0,,,,
2025,Furman,244,45.0,Andrea Fisher,Andrea Fisher,Andrea,Fisher,Sr,D,18.0,18.0,,,0.0,,,26.0,8773381,30.0,29.0,5.0,,,,6.0,,
2025,Furman,244,6.0,Molly Faul,Molly Faul,Molly,Faul,Sr,M,18.0,13.0,,1.0,1.0,,,9.0,8772510,18.0,16.0,7.0,,,,4.0,,3.0
2025,Furman,244,28.0,Sailor Henderson,Sailor Henderson,Sailor,Henderson,So,GK,14.0,6.0,,,0.0,,,4.0,8773525,,16.0,7.0,,,,,,
2025,Furman,244,13.0,Allie Kandel,Allie Kandel,Allie,Kandel,So,ATT,16.0,7.0,6.0,4.0,10.0,13.0,11.0,1.0,8773768,3.0,7.0,8.0,1.0,,,,1.0,
2025,Furman,244,4.0,Grace Gibson,Grace Gibson,Grace,Gibson,Jr,D,18.0,18.0,,,0.0,,,9.0,8768346,21.0,14.0,7.0,,,,2.0,1.0,2.0
2025,Furman,244,16.0,Rachel Sbei,Rachel Sbei,Rachel,Sbei,So,D,18.0,17.0,,,0.0,,,4.0,8783152,14.0,15.0,9.0,,,,1.0,1.0,2.0
2025,Furman,244,14.0,Reynolds Hester,Reynolds Hester,Reynolds,Hester,Jr,ATT,17.0,0.0,4.0,9.0,13.0,7.0,6.0,,8780807,2.0,2.0,8.0,1.0,1.0,,,1.0,
2025,Furman,244,17.0,Paige Harman,Paige Harman,Paige,Harman,Sr,M,18.0,16.0,52.0,54.0,106.0,93.0,65.0,7.0,8782302,6.0,14.0,38.0,17.0,10.0,,,1.0,65.0
2025,Furman,244,10.0,Lilly Dyer,Lilly Dyer,Lilly,Dyer,So,D,17.0,17.0,,,0.0,,,9.0,8777869,16.0,25.0,6.0,,,,,,
2025,Furman,244,1.0,Sofija Buzelis,Sofija Buzelis,Sofija,Buzelis,Sr,M,18.0,18.0,57.0,15.0,72.0,106.0,84.0,7.0,8778645,26.0,22.0,32.0,7.0,2.0,,4.0,4.0,115.0
2025,Furman,244,26.0,Audrey Smith,Audrey Smith,Audrey,Smith,Sr,D,18.0,9.0,,,0.0,,,9.0,8778662,11.0,12.0,2.0,,,,,2.0,
2025,Furman,244,20.0,Anna Roser,Anna Roser,Anna,Roser,Sr,ATT,18.0,18.0,79.0,19.0,98.0,152.0,103.0,12.0,8778893,6.0,17.0,21.0,21.0,11.0,,1.0,3.0,8.0
2025,Furman,244,11.0,Abby Shearer,Abby Shearer,Abby,Shearer,Jr,D,10.0,1.0,,,0.0,,,3.0,8777691,3.0,1.0,,,,,,,1.0
2025,Furman,244,9.0,Lilly Pons,Lilly Pons,Lilly,Pons,Fr,ATT,18.0,4.0,13.0,11.0,24.0,21.0,18.0,1.0,9097916,6.0,2.0,9.0,3.0,2.0,,1.0,1.0,
2025,Furman,244,15.0,Zoe Milmoe,Zoe Milmoe,Zoe,Milmoe,Fr,D,11.0,0.0,,,0.0,,,1.0,9097917,8.0,4.0,4.0,,,,1.0,,
2025,Furman,244,25.0,Caroline Rudy,Caroline Rudy,Caroline,Rudy,Fr,D,4.0,0.0,,,0.0,,,1.0,9097970,,1.0,1.0,,,,,,
2025,Furman,244,3.0,Reeve Goldstein,Reeve Goldstein,Reeve,Goldstein,Fr,ATT,9.0,0.0,1.0,1.0,2.0,4.0,3.0,,9097904,,1.0,1.0,,,,,,
2025,Furman,244,5.0,Sophia Harcus,Sophia Harcus,Sophia,Harcus,Fr,D,5.0,0.0,,,0.0,,,1.0,9097913,3.0,,,,,,,,
2025,Furman,244,24.0,Charlotte Kent,Charlotte Kent,Charlotte,Kent,Fr,D,17.0,0.0,,,0.0,,,5.0,9097969,20.0,13.0,1.0,,,,1.0,2.0,
2025,Furman,244,19.0,Anna Kelly,Anna Kelly,Anna,Kelly,Fr,M,3.0,0.0,,,0.0,,,,9097919,,,,,,,,,
2025,Furman,244,29.0,Rachel Ward,Rachel Ward,Rachel,Ward,So,M,15.0,0.0,1.0,4.0,5.0,6.0,4.0,,9097974,2.0,1.0,6.0,,,,1.0,,
2025,Furman,244,30.0,Taylor Bank,Taylor Bank,Taylor,Bank,So,ATT,11.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,9097975,1.0,3.0,4.0,,,,,,
2025,Furman,244,33.0,Nadine Galiano,Nadine Galiano,Nadine,Galiano,Fr,ATT,14.0,0.0,4.0,,4.0,6.0,4.0,,9097977,2.0,2.0,9.0,,,,,1.0,
2025,Furman,244,36.0,Skylar Hilmer,Skylar Hilmer,Skylar,Hilmer,Jr,D,18.0,18.0,6.0,3.0,9.0,16.0,12.0,9.0,9097978,17.0,16.0,8.0,,,,3.0,2.0,78.0
2025,Furman,244,18.0,Lily Toole,Lily Toole,Lily,Toole,Fr,ATT,18.0,18.0,64.0,21.0,85.0,120.0,92.0,7.0,9097918,12.0,21.0,31.0,15.0,8.0,,1.0,3.0,1.0
2025,Furman,244,8.0,Lexi Elkin,Lexi Elkin,Lexi,Elkin,Fr,ATT,3.0,0.0,,,0.0,,,,9097915,,1.0,1.0,,,,,,
2025,Furman,244,22.0,Josie Mundell,Josie Mundell,Josie,Mundell,So,M,1.0,0.0,,,0.0,,,,9097921,,,1.0,,,,,,
2025,Furman,244,27.0,Ally Moore,Ally Moore,Ally,Moore,So,ATT,15.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,9097971,,1.0,,,,,,,5.0
2025,Furman,244,88.0,Sam Melville,Sam Melville,Sam,Melville,Fr,GK,2.0,0.0,,,0.0,,,,9097982,,,,,,,,,
2025,Furman,244,7.0,Marin Hodor,Marin Hodor,Marin,Hodor,Fr,ATT,9.0,0.0,8.0,1.0,9.0,12.0,10.0,,9097914,1.0,,,3.0,2.0,,,,
2025,Furman,244,21.0,Caroline Smith,Caroline Smith,Caroline,Smith,Fr,M,15.0,2.0,2.0,2.0,4.0,5.0,3.0,,9097920,3.0,,3.0,,,,1.0,3.0,26.0
2025,Furman,244,55.0,Madigan Brewer,Madigan Brewer,Madigan,Brewer,Jr,GK,16.0,12.0,,,0.0,,,3.0,9097980,,14.0,7.0,,,,,,
2025,Gardner-Webb,1092,3.0,Emma Meyer,Emma Meyer,Emma,Meyer,Jr,D,17.0,17.0,2.0,,2.0,8.0,5.0,10.0,8770387,22.0,18.0,22.0,4.0,2.0,,4.0,3.0,24.0
2025,Gardner-Webb,1092,20.0,Holly Martindale,Holly Martindale,Holly,Martindale,Jr,D,17.0,16.0,,,0.0,4.0,3.0,18.0,8765875,21.0,16.0,11.0,2.0,,,,3.0,1.0
2025,Gardner-Webb,1092,25.0,Ella Straub,Ella Straub,Ella,Straub,Sr,D,17.0,17.0,,,0.0,1.0,,10.0,8766941,29.0,17.0,12.0,,,,4.0,,1.0
2025,Gardner-Webb,1092,19.0,Reese Jones,Reese Jones,Reese,Jones,Sr,DM,16.0,16.0,,,0.0,1.0,,12.0,8769695,25.0,13.0,4.0,,,,1.0,2.0,
2025,Gardner-Webb,1092,13.0,Emma Duchscherer,Emma Duchscherer,Emma,Duchscherer,Jr,M,17.0,16.0,25.0,13.0,38.0,70.0,52.0,21.0,8768347,19.0,17.0,45.0,13.0,6.0,,1.0,8.0,25.0
2025,Gardner-Webb,1092,17.0,Kyla Pascucci,Kyla Pascucci,Kyla,Pascucci,Sr,D,16.0,15.0,,1.0,1.0,,,11.0,8780112,37.0,17.0,6.0,,,,1.0,3.0,1.0
2025,Gardner-Webb,1092,12.0,Abby Consaul,Abby Consaul,Abby,Consaul,So,D,17.0,17.0,,,0.0,1.0,,39.0,8780166,21.0,33.0,12.0,,,,5.0,2.0,
2025,Gardner-Webb,1092,11.0,Rebecca Ferrina,Rebecca Ferrina,Rebecca,Ferrina,Sr,ATT,16.0,13.0,12.0,4.0,16.0,38.0,23.0,3.0,8775164,4.0,3.0,23.0,8.0,3.0,,1.0,1.0,12.0
2025,Gardner-Webb,1092,26.0,Ella Grace Bishop,Ella Grace Bishop,Ella Grace,Bishop,Fr,ATT,17.0,14.0,13.0,7.0,20.0,49.0,32.0,6.0,9106627,10.0,14.0,37.0,8.0,1.0,,4.0,8.0,13.0
2025,Gardner-Webb,1092,5.0,Kathryn Lehman,Kathryn Lehman,Kathryn,Lehman,Jr,D,4.0,0.0,,,0.0,,,,9106635,3.0,1.0,1.0,,,,,,
2025,Gardner-Webb,1092,33.0,Anna Wise,Anna Wise,Anna,Wise,So,GK,11.0,0.0,,,0.0,,,,9106640,,2.0,4.0,,,,,,
2025,Gardner-Webb,1092,21.0,Emma Anderson,Emma Anderson,Emma,Anderson,Fr,GK,17.0,17.0,,,0.0,,,17.0,9106626,,63.0,18.0,,,,,,
2025,Gardner-Webb,1092,18.0,Alexis Block,Alexis Block,Alexis,Block,Fr,M,17.0,7.0,1.0,2.0,3.0,6.0,5.0,1.0,9106628,1.0,3.0,12.0,2.0,1.0,,,1.0,1.0
2025,Gardner-Webb,1092,28.0,Jules Brown,Jules Brown,Jules,Brown,Fr,ATT,17.0,5.0,9.0,7.0,16.0,21.0,18.0,3.0,9106629,6.0,11.0,37.0,2.0,,,,3.0,3.0
2025,Gardner-Webb,1092,9.0,Sydney Ehrenreich,Sydney Ehrenreich,Sydney,Ehrenreich,Fr,M,1.0,0.0,,,0.0,,,,9106631,1.0,,,,,,,,
2025,Gardner-Webb,1092,8.0,McKensie Gehris,McKensie Gehris,McKensie,Gehris,Fr,M,12.0,7.0,,,0.0,1.0,1.0,1.0,9106632,4.0,2.0,6.0,,,,1.0,2.0,27.0
2025,Gardner-Webb,1092,16.0,Abby Hardiman,Abby Hardiman,Abby,Hardiman,Fr,M,4.0,1.0,,,0.0,1.0,1.0,,9106633,1.0,1.0,,1.0,,,,,
2025,Gardner-Webb,1092,24.0,Gianna Nardini,Gianna Nardini,Gianna,Nardini,Sr,ATT,17.0,11.0,14.0,2.0,16.0,33.0,23.0,2.0,9106637,4.0,2.0,16.0,6.0,2.0,,1.0,5.0,
2025,Gardner-Webb,1092,10.0,Jonni Saluppo,Jonni Saluppo,Jonni,Saluppo,Fr,M,17.0,2.0,,2.0,2.0,13.0,5.0,3.0,9106638,8.0,4.0,21.0,2.0,,,2.0,2.0,6.0
2025,Gardner-Webb,1092,27.0,Summer Carpenter,Summer Carpenter,Summer,Carpenter,So,D,14.0,3.0,1.0,,1.0,3.0,2.0,7.0,9106630,10.0,14.0,12.0,1.0,1.0,,3.0,1.0,10.0
2025,Gardner-Webb,1092,7.0,Alexa Kleinberger,Alexa Kleinberger,Alexa,Kleinberger,Fr,M,14.0,1.0,1.0,3.0,4.0,9.0,7.0,2.0,9106634,3.0,3.0,12.0,2.0,,,2.0,,3.0
2025,Gardner-Webb,1092,15.0,Katie Westbrook,Katie Westbrook,Katie,Westbrook,Fr,ATT,16.0,9.0,22.0,,22.0,40.0,32.0,1.0,9106639,1.0,8.0,17.0,8.0,5.0,,,3.0,6.0
2025,George Mason,248,27.0,Peyton Farley,Peyton Farley,Peyton,Farley,Jr,ATT,3.0,3.0,6.0,5.0,11.0,11.0,9.0,,8766052,1.0,5.0,6.0,1.0,1.0,,,,
2025,George Mason,248,29.0,Margaret Harmon,Margaret Harmon,Margaret,Harmon,Jr,D,3.0,0.0,,,0.0,,,,8771171,,1.0,,,,,,,
