season,team,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,sh_att,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,gaa,saves,sv_pct,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,gwg
2020,A&M-Corpus Christi Islanders,9, Kayla Gove,"Gove, Kayla", Kayla,Gove,Sr,F,16,6,NA,NA,0,15,6,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,6, Celia Hilsabeck,"Hilsabeck, Celia", Celia,Hilsabeck,Sr,M,16,16,1,1,3,24,11,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,A&M-Corpus Christi Islanders,18, Reaghan Lang,"Lang, Reaghan", Reaghan,Lang,Jr,F,16,2,NA,NA,0,6,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,24, Maddie Janolo,"Janolo, Maddie", Maddie,Janolo,So,D,15,2,NA,NA,0,2,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,21, Natalie Gonzalez,"Gonzalez, Natalie", Natalie,Gonzalez,So,F,15,3,1,1,3,10,14,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,30, Emma Herrera,"Herrera, Emma", Emma,Herrera,Fr,D,15,13,NA,NA,0,NA,3,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,5, Mariah Ramon,"Ramon, Mariah", Mariah,Ramon,Sr,M,15,1,NA,NA,0,2,4,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,1, Kyleigh Hall,"Hall, Kyleigh", Kyleigh,Hall,Sr,GK,14,14,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1354:37,17,1.129,98,0.852,4,NA,4,6,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,14, Siri O'Donnell,"O'Donnell, Siri", Siri,O'Donnell,Sr,D,12,11,NA,NA,0,5,4,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,25, Alana Mangan,"Mangan, Alana", Alana,Mangan,So,D,11,9,NA,NA,0,2,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2020,A&M-Corpus Christi Islanders,3, Jaedyn Johnson,"Johnson, Jaedyn", Jaedyn,Johnson,Jr,D,10,NA,NA,NA,0,3,5,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,7, Ana Recarte-Pacheco,"Recarte-Pacheco, Ana", Ana,Recarte-Pacheco,So,M,4,NA,NA,NA,0,2,2,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,A&M-Corpus Christi Islanders,42, Kennedy Stelling,"Stelling, Kennedy", Kennedy,Stelling,Fr,GK,3,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,295:14,4,1.219,16,0.8,1,NA,NA,2,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,33, Caylen Wright,"Wright, Caylen", Caylen,Wright,So,F,21,18,4,2,10,29,17,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020,Abilene Christian Wildcats,0, Erin Smith,"Smith, Erin", Erin,Smith,Sr,GK,21,21,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1915:00,20,0.94,81,0.802,9,NA,12,6,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,7, Christina Arteaga,"Arteaga, Christina", Christina,Arteaga,Sr,F,21,21,6,7,19,79,20,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2
2020,Abilene Christian Wildcats,3, Ellen Joss,"Joss, Ellen", Ellen,Joss,Jr,D,21,19,1,1,3,6,3,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,Abilene Christian Wildcats,9, Gabby Symmank,"Symmank, Gabby", Gabby,Symmank,Sr,D,20,20,NA,NA,0,8,3,NA,2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,12, Natalie Wodka,"Wodka, Natalie", Natalie,Wodka,Jr,D,20,6,4,NA,8,19,11,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2
2020,Abilene Christian Wildcats,11, Jordan Michie,"Michie, Jordan", Jordan,Michie,So,F,20,9,2,NA,4,21,20,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,Abilene Christian Wildcats,26, Alyssia Anuat,"Anuat, Alyssia", Alyssia,Anuat,Jr,D,20,19,2,1,5,27,7,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,18, Megan Paul,"Paul, Megan", Megan,Paul,Sr,M,19,18,1,NA,2,17,14,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,17, Brennan Reuland,"Reuland, Brennan", Brennan,Reuland,So,M,19,8,NA,NA,0,21,13,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,24, Brianna Diaz,"Diaz, Brianna", Brianna,Diaz,So,F,18,10,2,NA,4,18,7,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,Abilene Christian Wildcats,21, Hannah Gage,"Gage, Hannah", Hannah,Gage,Fr,D,18,9,1,NA,2,13,6,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,36, Faith Husbenet,"Husbenet, Faith", Faith,Husbenet,So,F,17,11,NA,NA,0,13,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,19, Natalie Jones,"Jones, Natalie", Natalie,Jones,So,M,16,14,6,4,16,57,7,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3
2020,Abilene Christian Wildcats,10, Ashley Stamps,"Stamps, Ashley", Ashley,Stamps,Jr,M,15,3,NA,2,2,2,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,27, Laura Mauldin,"Mauldin, Laura", Laura,Mauldin,Jr,F,14,4,NA,NA,0,NA,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,8, Isa Sanabria,"Sanabria, Isa", Isa,Sanabria,Sr,D,12,2,NA,NA,0,1,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,15, Emily Heidman,"Heidman, Emily", Emily,Heidman,Jr,D,11,8,NA,NA,0,8,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,32, Sami Brown,"Brown, Sami", Sami,Brown,Fr,D,11,NA,NA,NA,0,2,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,23, Brittney Harris,"Harris, Brittney", Brittney,Harris,Sr,M,10,4,NA,NA,0,12,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,2, Addi Bonaventure,"Bonaventure, Addi", Addi,Bonaventure,So,F,8,4,NA,NA,0,NA,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,20, Megan McAleer,"McAleer, Megan", Megan,McAleer,Fr,F,5,3,NA,1,1,3,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,22, Olivia Saldivar,"Saldivar, Olivia", Olivia,Saldivar,So,M,2,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Abilene Christian Wildcats,00, Lily Foster,"Foster, Lily", Lily,Foster,Fr,GK,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,45:00,2,4,6,0.75,NA,NA,NA,1,NA,NA,NA,NA,NA
2020,Air Force Falcons,5, Grace Sublette,"Sublette, Grace", Grace,Sublette,Fr,M,8,8,NA,NA,0,5,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,2, Jordi Ives,"Ives, Jordi", Jordi,Ives,Fr,F,8,7,1,NA,2,9,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,Air Force Falcons,3, Faith Lee,"Lee, Faith", Faith,Lee,So,F,8,7,NA,1,1,10,6,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,10, Catherine Bakken,"Bakken, Catherine", Catherine,Bakken,So,M,8,6,NA,NA,0,7,6,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,11, Kayla Milford,"Milford, Kayla", Kayla,Milford,So,D,8,8,NA,NA,0,2,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,17, Bella Colandrea,"Colandrea, Bella", Bella,Colandrea,Jr,D,8,8,NA,NA,0,6,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,29, Micah Larkin,"Larkin, Micah", Micah,Larkin,Jr,M,8,1,NA,NA,0,2,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,21, Alex Giggie,"Giggie, Alex", Alex,Giggie,Sr,D,8,8,NA,NA,0,6,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,28, Cassi Bych,"Bych, Cassi", Cassi,Bych,Fr,D,7,NA,NA,NA,0,8,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,14, Ryley Tanner,"Tanner, Ryley", Ryley,Tanner,Fr,D,7,3,NA,NA,0,4,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,18, Cam Karras,"Karras, Cam", Cam,Karras,So,M,7,2,NA,NA,0,3,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,8, Brittany Mahowald,"Mahowald, Brittany", Brittany,Mahowald,Sr,D,7,6,NA,NA,0,1,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,16, Natalia Gutierrez,"Gutierrez, Natalia", Natalia,Gutierrez,Jr,M,6,5,1,NA,2,4,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA
2020,Air Force Falcons,23, Tatiana Limon,"Limon, Tatiana", Tatiana,Limon,Jr,M,6,3,1,NA,2,6,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2020,Air Force Falcons,27, Cammi Bych,"Bych, Cammi", Cammi,Bych,Fr,GK,5,3,NA,NA,0,NA,NA,NA,NA,NA,2,1,263:18,3,1.025,19,0.864,1,NA,1,2,NA,NA,NA,NA,NA
2020,Air Force Falcons,0, Danielle Katz,"Katz, Danielle", Danielle,Katz,Sr,GK,5,5,NA,NA,0,NA,NA,NA,NA,NA,1,1,430:32,11,2.299,17,0.607,NA,NA,1,4,NA,NA,NA,NA,NA
2020,Air Force Falcons,12, Jillian Jamero,"Jamero, Jillian", Jillian,Jamero,Sr,F,5,3,NA,NA,0,4,1,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,19, Emma Nelson,"Nelson, Emma", Emma,Nelson,Sr,M,4,2,NA,1,1,8,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,9, Keelyn Osoba,"Osoba, Keelyn", Keelyn,Osoba,Jr,D,3,2,NA,NA,0,1,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,24, Audrey Colter,"Colter, Audrey", Audrey,Colter,Fr,M,3,1,NA,NA,0,NA,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Air Force Falcons,00, Sydney Davis,"Davis, Sydney", Sydney,Davis,Fr,GK,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,39:01,2,4.614,6,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,4, Kayleigh Penton,"Penton, Kayleigh", Kayleigh,Penton,Jr,M,9,9,NA,NA,0,NA,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,18, Katie Stafford,"Stafford, Katie", Katie,Stafford,Fr,D,9,9,NA,NA,0,2,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,10, Carly Pcholinsky,"Pcholinsky, Carly", Carly,Pcholinsky,Jr,M,9,7,1,NA,2,9,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,9, Sydney Worthy,"Worthy, Sydney", Sydney,Worthy,Jr,F,9,7,3,2,8,13,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020,Akron Zips,23, Ryley Watt,"Watt, Ryley", Ryley,Watt,Sr,D,9,9,NA,1,1,2,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,15, Annamarie Alfery,"Alfery, Annamarie", Annamarie,Alfery,Sr,D,9,6,NA,1,1,2,2,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,6, Charley Kale,"Kale, Charley", Charley,Kale,Jr,M,9,9,NA,1,1,5,4,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,8, Sarah Nguyen,"Nguyen, Sarah", Sarah,Nguyen,Fr,M,8,7,NA,3,3,5,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,20, Bailee Bowers,"Bowers, Bailee", Bailee,Bowers,So,M,7,5,NA,NA,0,5,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,14, Aislinn Meaney,"Meaney, Aislinn", Aislinn,Meaney,Jr,F,7,5,1,NA,2,12,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,19, Sydney Ward,"Ward, Sydney", Sydney,Ward,Jr,M,7,4,NA,NA,0,6,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,13, Lucia Lobato,"Lobato, Lucia", Lucia,Lobato,So,D,7,5,2,NA,4,4,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2020,Akron Zips,00, Vanessa Berlin,"Berlin, Vanessa", Vanessa,Berlin,So,GK,6,6,NA,NA,0,NA,NA,NA,NA,NA,3,3,540:00,12,2,35,0.745,1,NA,2,4,NA,NA,NA,NA,NA
2020,Akron Zips,7, Annabel Thomas,"Thomas, Annabel", Annabel,Thomas,Fr,F,6,2,1,NA,2,5,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,3, Anya Donelan,"Donelan, Anya", Anya,Donelan,Sr,D,4,3,NA,NA,0,NA,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,17, Julia Kressig,"Kressig, Julia", Julia,Kressig,Fr,M,4,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,5, Katharina Bilz,"Bilz, Katharina", Katharina,Bilz,Fr,D,3,2,NA,NA,0,NA,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Akron Zips,1, Libby Harper,"Harper, Libby", Libby,Harper,So,GK,3,3,NA,NA,0,NA,NA,NA,NA,NA,3,3,290:00,1,0.31,11,0.917,2,NA,1,1,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,13, McKinley Crone,"Crone, McKinley", McKinley,Crone,Jr,GK,17,17,NA,NA,0,NA,NA,NA,1,NA,1,1,1580:09,21,1.196,77,0.786,6,NA,7,8,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,8, Felicia Knox,"Knox, Felicia", Felicia,Knox,Fr,M,17,16,4,2,10,29,26,NA,2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020,Alabama Crimson Tide,4, Tanna Sanchez-Carreto,"Sanchez-Carreto, Tanna", Tanna,Sanchez-Carreto,Fr,D,16,15,2,NA,4,6,7,1,3,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,2, Macy Clem,"Clem, Macy", Macy,Clem,So,M,15,14,2,4,8,13,15,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,Alabama Crimson Tide,6, Sasha Pickard,"Pickard, Sasha", Sasha,Pickard,So,D,15,12,NA,NA,0,3,7,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,16, Reyna Reyes,"Reyes, Reyna", Reyna,Reyes,So,M,14,14,2,2,6,14,19,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020,Alabama Crimson Tide,15, Kat Rogers,"Rogers, Kat", Kat,Rogers,Jr,M,14,12,1,4,6,9,6,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,5, Bella Scaturro,"Scaturro, Bella", Bella,Scaturro,So,D,14,14,NA,2,2,NA,9,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,25, Allie Berk,"Berk, Allie", Allie,Berk,So,M,14,6,NA,NA,0,8,9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,7, Gessica Skorka,"Skorka, Gessica", Gessica,Skorka,Fr,D,13,10,NA,1,1,5,10,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,27, Sydney Vincens,"Vincens, Sydney", Sydney,Vincens,So,F,12,5,2,NA,4,6,11,NA,3,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,Alabama Crimson Tide,29, Kate Henderson,"Henderson, Kate", Kate,Henderson,Fr,M,10,5,NA,NA,0,10,3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,20, Serena Pham,"Pham, Serena", Serena,Pham,So,M,9,6,2,NA,4,7,4,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,3, Brynn Martin,"Martin, Brynn", Brynn,Martin,Sr,D,9,9,NA,NA,0,2,5,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,21, Taylor Carter,"Carter, Taylor", Taylor,Carter,Fr,M,9,2,1,NA,2,6,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020,Alabama Crimson Tide,10, Riley Mattingly,"Mattingly, Riley", Riley,Mattingly,Jr,F,9,8,2,1,5,17,7,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
2020,Alabama Crimson Tide,12, Casey Wertz,"Wertz, Casey", Casey,Wertz,Sr,F,9,7,NA,1,1,12,10,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,17, Kaley Verpaele,"Verpaele, Kaley", Kaley,Verpaele,Sr,M,9,9,NA,NA,0,3,10,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,26, Gabby Duca,"Duca, Gabby", Gabby,Duca,Jr,F,9,1,NA,NA,0,6,4,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,28, Gigi Schorr,"Schorr, Gigi", Gigi,Schorr,Sr,D,8,1,NA,NA,0,1,2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,8, Carly Wyatt,"Wyatt, Carly", Carly,Wyatt,So,F,8,NA,2,NA,4,9,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,33, Penny Smith,"Smith, Penny", Penny,Smith,Fr,F,7,2,NA,NA,0,1,1,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,11, Taylor Morgan,"Morgan, Taylor", Taylor,Morgan,Sr,M,4,2,NA,NA,0,5,7,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama Crimson Tide,22, Kaitlyn Madden,"Madden, Kaitlyn", Kaitlyn,Madden,Jr,D,3,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama A&M Bulldogs,20, Tateyana Pitter,"Pitter, Tateyana", Tateyana,Pitter,Jr,M,8,8,NA,NA,0,6,6,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Alabama A&M Bulldogs,7, Sherice Clark,"Clark, Sherice", Sherice,Clark,Jr,M,8,8,NA,NA,0,12,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
