season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,draw_controls
2022,Arizona St.,28,18.0,Bella Ingrao,Bella Ingrao,Bella,Ingrao,Fr,M,10.0,4.0,1.0,,1.0,4.0,3.0,2.0,7556350,10.0,2.0,4.0,,,23.0
2022,Arizona St.,28,13.0,Lexi Guerin,Lexi Guerin,Lexi,Guerin,Fr,M,1.0,0.0,,,0.0,1.0,1.0,,7556320,,,,,,1.0
2022,Arizona St.,28,33.0,Kylie Kroeger,Kylie Kroeger,Kylie,Kroeger,Sr,M,19.0,0.0,5.0,2.0,7.0,17.0,9.0,6.0,7556324,21.0,14.0,17.0,3.0,,10.0
2022,Arizona St.,28,27.0,Maddelena Signorile,Maddelena Signorile,Maddelena,Signorile,Fr,D,3.0,0.0,,,0.0,,,1.0,7556367,2.0,1.0,,,,
2022,Arizona St.,28,10.0,Tate Stokesberry,Tate Stokesberry,Tate,Stokesberry,Fr,ATT,4.0,0.0,,1.0,1.0,,,,7556369,1.0,,3.0,,,1.0
2022,Arizona St.,28,26.0,Taylor Pinzone,Taylor Pinzone,Taylor,Pinzone,Sr,ATT,19.0,19.0,41.0,13.0,54.0,104.0,70.0,9.0,7556374,31.0,30.0,20.0,23.0,10.0,42.0
2022,Arizona St.,28,30.0,Berit Brookfield,Berit Brookfield,Berit,Brookfield,Fr,M,15.0,8.0,,,0.0,,,5.0,7556313,11.0,5.0,2.0,,,1.0
2022,Arizona St.,28,36.0,Emily Munro,Emily Munro,Emily,Munro,Sr,ATT,19.0,17.0,26.0,9.0,35.0,61.0,43.0,5.0,7556322,29.0,20.0,21.0,9.0,3.0,1.0
2022,Arizona St.,28,19.0,Maria Villanti,Maria Villanti,Maria,Villanti,Sr,M,19.0,0.0,11.0,1.0,12.0,25.0,19.0,6.0,7556325,27.0,11.0,11.0,5.0,1.0,16.0
2022,Arizona St.,28,4.0,Helen Park,Helen Park,Helen,Park,Fr,M,7.0,0.0,,,0.0,,,,7556353,2.0,1.0,,,,
2022,Arizona St.,28,0.0,Katie Vahle,Katie Vahle,Katie,Vahle,Fr,GK,19.0,19.0,,,0.0,,,12.0,7556371,1.0,52.0,8.0,,,
2022,Arizona St.,28,40.0,Carley Adams,Carley Adams,Carley,Adams,Sr,ATT,19.0,19.0,51.0,28.0,79.0,91.0,69.0,5.0,7556269,60.0,19.0,45.0,16.0,8.0,7.0
2022,Arizona St.,28,7.0,Annie Haley,Annie Haley,Annie,Haley,Fr,M,3.0,0.0,,,0.0,2.0,1.0,,7556333,,,,2.0,,
