Season,Team,jersey,Full Name,Roster Name,First Name,Last Name,Year,Position,Jersey Number,Games Played,Games Started,Goals,Assists,Points,Shots,Shots on Goal,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,NCAA id
2025,Army West Point,1,Sean Byrne,Sean Byrne,Sean,Byrne,Jr,GK,1,10,10,1,0,1,5,1,29,8,7,0,0,8777637
2025,Army West Point,35,Brayden Fountain,Brayden Fountain,Brayden,Fountain,Fr,ATT,35,10,10,31,12,43,62,49,22,14,3,0,0,9214585
2025,Army West Point,3,Jackson Eicher,Jackson Eicher,Jackson,Eicher,Sr,ATT,3,10,10,35,25,60,110,65,11,22,2,0,0,8762052
2025,Army West Point,18,Robert Simone,Robert Simone,Robert,Simone,So,FO,18,10,0,3,0,3,4,4,22,1,0,48,102,8762990
2025,Army West Point,12,Aiden Weisenborn,Aiden Weisenborn,Aiden,Weisenborn,Fr,M,12,10,8,6,1,7,46,20,9,4,0,0,0,9214568
2025,Army West Point,29,Finn McCullough,Finn McCullough,Finn,McCullough,Sr,ATT,29,10,0,4,1,5,18,7,3,3,0,0,0,8774398
2025,Army West Point,79,Ryan Nixon,Ryan Nixon,Ryan,Nixon,Sr,LSM,79,10,10,0,4,4,1,0,30,4,10,0,0,8766857
2025,Army West Point,20,AJ Pilate,AJ Pilate,AJ,Pilate,Sr,D,20,10,10,1,2,3,5,3,33,4,13,0,0,8766365
2025,Army West Point,77,Ryan Sellew,Ryan Sellew,Ryan,Sellew,Sr,ATT,77,10,5,2,1,3,20,8,2,4,2,0,0,8768423
2025,Army West Point,27,Kyle Atherton,Kyle Atherton,Kyle,Atherton,Sr,LSM,27,9,0,0,0,0,0,0,4,1,1,0,0,8764534
2025,Army West Point,98,Keagan Treacy,Keagan Treacy,Keagan,Treacy,Jr,D,98,9,0,1,2,3,6,3,6,1,3,0,0,8775460
2025,Army West Point,21,Dylan D'Agostino,Dylan D'Agostino,Dylan,D'Agostino,Sr,M,21,9,0,2,1,3,6,5,4,5,0,0,0,8765045
2025,Army West Point,33,Christian Fournier,Christian Fournier,Christian,Fournier,Sr,LSM,33,9,0,1,4,5,8,2,35,6,25,0,0,8767205
2025,Army West Point,7,Grant Masterson,Grant Masterson,Grant,Masterson,So,M,7,9,0,2,0,2,7,6,1,3,0,0,0,8767506
2025,Army West Point,43,Billy Adams,Billy Adams,Billy,Adams,Sr,M,43,9,0,0,0,0,2,0,4,2,3,0,0,8769303
2025,Army West Point,55,Christian Mazur,Christian Mazur,Christian,Mazur,Sr,SSDM,55,9,0,1,4,5,7,2,14,4,10,0,0,8777531
2025,Army West Point,11,Hill Plunkett,Hill Plunkett,Hill,Plunkett,Fr,M,11,9,3,11,9,20,39,26,1,7,0,0,0,9214566
2025,Army West Point,51,CJ Monturio,CJ Monturio,CJ,Monturio,Jr,SSDM,51,8,0,0,0,0,2,0,6,1,2,0,0,8768255
2025,Army West Point,23,Evan Richardson,Evan Richardson,Evan,Richardson,Jr,GK,23,8,0,0,0,0,0,0,1,0,0,0,0,8776605
2025,Army West Point,32,John Manero,John Manero,John,Manero,Sr,M,32,8,2,0,0,0,5,4,1,4,0,0,0,8764586
2025,Army West Point,6,Tyler Clark,Tyler Clark,Tyler,Clark,Fr,ATT,6,8,0,0,3,3,3,2,1,0,1,0,0,9214553
2025,Army West Point,88,Casey Reynolds,Casey Reynolds,Casey,Reynolds,Sr,SSDM,88,7,0,0,0,0,0,0,2,0,3,0,0,8760372
2025,Army West Point,5,Ben Calabrese,Ben Calabrese,Ben,Calabrese,Fr,ATT,5,7,0,0,0,0,2,0,1,3,1,0,0,9214540
2025,Army West Point,17,Alec Vaccaro,Alec Vaccaro,Alec,Vaccaro,Sr,FO,17,6,0,0,1,1,1,1,7,1,0,13,36,8762011
2025,Army West Point,66,Mark Schroeder,Mark Schroeder,Mark,Schroeder,Sr,D,66,6,0,0,0,0,0,0,1,0,2,0,0,8777379
2025,Army West Point,10,Will Coletti,Will Coletti,Will,Coletti,Sr,FO,10,6,3,2,0,2,7,3,28,2,0,50,86,8772239
2025,Army West Point,14,Avi Mehl,Avi Mehl,Avi,Mehl,Jr,ATT,14,5,0,0,0,0,4,1,0,0,0,0,0,8773441
2025,Army West Point,34,Austin Groce,Austin Groce,Austin,Groce,Sr,D,34,5,0,0,0,0,0,0,1,0,0,0,0,8765099
2025,Army West Point,2,Andrew Miller,Andrew Miller,Andrew,Miller,So,LSM,2,5,0,0,0,0,1,0,7,1,1,0,0,8764991
2025,Army West Point,22,Tommy Stines,Tommy Stines,Tommy,Stines,Fr,D,22,4,0,0,0,0,0,0,0,0,0,0,0,9214573
2025,Army West Point,37,Mike Harney,Mike Harney,Mike,Harney,So,ATT,37,4,0,0,0,0,5,3,3,2,0,0,0,8774086
2025,Army West Point,85,Patrick Dunleavy,Patrick Dunleavy,Patrick,Dunleavy,Sr,M,85,3,0,0,0,0,0,0,1,0,0,0,0,8761400
2025,Army West Point,40,Connor Hofbauer,Connor Hofbauer,Connor,Hofbauer,Fr,M,40,3,0,0,0,0,1,1,0,0,0,0,0,9214591
2025,Army West Point,31,Bennett Ong,Bennett Ong,Bennett,Ong,Sr,GK,31,3,0,0,0,0,0,0,0,0,0,0,0,8765968
2025,Army West Point,47,Brady White,Brady White,Brady,White,So,GK,47,3,0,0,0,0,0,0,0,0,1,0,0,8777521
2025,Army West Point,16,Patrick Ferguson,Patrick Ferguson,Patrick,Ferguson,Jr,D,16,3,0,0,0,0,0,0,0,0,0,0,0,8772357
2025,Army West Point,9,Alex Krusko,Alex Krusko,Alex,Krusko,Fr,ATT,9,3,0,1,0,1,1,1,0,1,0,0,0,9214564
2025,Army West Point,39,Austin Cunningham,Austin Cunningham,Austin,Cunningham,So,D,39,2,0,0,0,0,0,0,0,0,0,0,0,8763124
2025,Army West Point,8,Isaiah Rose,Isaiah Rose,Isaiah,Rose,So,LSM,8,2,0,0,0,0,0,0,0,0,0,0,0,8770285
2025,Army West Point,24,Cal Lambert,Cal Lambert,Cal,Lambert,Jr,FO,24,2,0,0,0,0,0,0,0,0,0,0,0,8760520
2025,Army West Point,13,Alex Petrignani,Alex Petrignani,Alex,Petrignani,Jr,M,13,2,0,1,0,1,3,3,1,2,0,0,0,8774038
2025,Army West Point,91,Luke Stratton,Luke Stratton,Luke,Stratton,Jr,D,91,2,0,0,0,0,0,0,1,0,0,0,0,8764685
2025,Army West Point,45,Tim Johnson,Tim Johnson,Tim,Johnson,Sr,D,45,2,0,0,0,0,0,0,1,0,0,0,0,8760382
